,GENE,GSM282000,GSM282001,GSM282002
0,SO0001,0.029300167,-0.103415131,-0.442495046
1,SO0001,0.159712012,0.072795719,-0.321529283
2,SO0001F,-1.151992739,-1.3032336,-1.614050252
3,SO0001F,-1.463272144,-1.588143343,-1.688713165
4,SO0002,0.908694838,1.361463899,0.627551798
5,SO0002,1.215969996,1.157307954,0.5572264
6,SO0003,0.363277348,0.295385599,-0.247508436
7,SO0003,0.205745714,0.245893352,-0.041162702
8,SO0004,1.052751451,1.340945527,0.697805953
9,SO0004,1.406606258,1.349333341,0.838225722
10,SO0005,1.397677411,1.546815062,0.719591162
11,SO0005,1.567230689,1.494863129,1.388887175
12,SO0006,1.332354365,1.630508806,1.335568715
13,SO0006,1.691628974,1.651547831,1.07793626
14,SO0007,0.989939512,0.946165185,-0.100404368
15,SO0007,0.94110568,0.91689848,1.052990325
16,SO0008,0.129413045,0.21232237,-0.370686069
17,SO0008,-1.269792994,0.006826475,-0.134487457
18,SO0009,0.177053795,0.113176164,-0.21593439
19,SO0009,0.216610596,0.121735163,-0.332767765
20,SO0009F,-0.832743826,-1.182848201,-2.650379994
21,SO0009F,-1.178014507,-0.980026947,-1.845870672
22,SO0010,0.092171331,0.433973446,-0.476951339
23,SO0010,0.686450118,0.541528368,-0.154521892
24,SO0010F,-1.248932553,-0.639938242,-1.432164294
25,SO0010F,-1.118330522,-1.144665925,-1.762540607
26,SO0011,0.629131798,0.644068846,-0.020931447
27,SO0011,0.565078782,0.679767954,0.302997537
28,SO0012,0.379928461,0.330558408,0.005703276
29,SO0012,0.153331475,0.302469679,-0.005303053
30,SO0013,-0.048790436,-0.223642934,-0.496293318
31,SO0013,-0.159397384,-0.079805541,-0.384073415
32,SO0014,0.148492848,0.356367849,-0.007027849
33,SO0014,0.270181632,0.430688581,0.341150366
34,SO0015,0.20026869,0.11129199,-0.217229555
35,SO0015,0.163036369,0.182115871,-0.009357136
36,SO0016,-0.176162041,-0.054944003,-0.172470829
