,index,ACCESSION_STRING,GSM4233495,GSM4233496,GSM4233497,GSM4233498,GSM4233499,GSM4233500,GSM4233501,GSM4233502
0,6705,SO_0001,7.833088294,8.048317053,7.819580936,8.056638191,6.203961422,6.315717249,6.299782011,6.292898372
1,5008,SO_0001,13.60509968,14.09666627,14.08577587,13.92464726,13.71786048,13.78025461,13.50827065,13.72709949
2,2465,SO_0001,5.386943274,5.824165446,5.962175064,5.37612844,5.279613843,5.377213579,5.163653211,4.995771122
3,11284,SO_0002,10.94258329,11.36115566,10.97513152,11.17416503,10.04366827,10.30074589,10.04247176,10.66514165
4,7072,SO_0002,5.304924875,5.520621441,5.349837199,5.304924875,5.664449783,5.773965684,5.759058279,6.371233659
5,9709,SO_0002,6.421014335,5.393393472,5.198448492,6.335950134,4.216752673,3.816992614,4.036181336,3.848631736
6,9887,SO_0003,7.261801933,8.157978894,8.129122446,7.996297433,8.527355165,8.612062492,7.954742092,8.412834812
7,3260,SO_0003,12.67842823,12.69807386,12.56683449,12.78160947,12.03258391,11.99877775,11.97404485,12.16200774
8,7033,SO_0003,10.62173719,8.908392884,9.346860155,9.820079355,9.16341404,9.373341175,9.778231312,9.351146486
9,8284,SO_0004,6.844314564,6.17679823,5.847842556,6.936270892,5.183638868,5.053929696,5.873446274,5.29577216
10,9671,SO_0004,10.05710342,10.09089819,9.774117991,9.912281357,8.614019938,8.333155743,8.466714137,8.219320227
11,5215,SO_0004,8.948002388,8.662779934,8.748507651,8.578844723,9.857057776,9.352250571,9.882308834,9.445079709
12,8290,SO_0005,11.27732378,10.74913624,10.74080855,10.72709623,10.19263968,10.38939616,10.8038537,10.07443431
13,13564,SO_0005,6.155452509,5.494858395,5.389096546,6.217353608,4.259749879,4.491858728,4.076823106,4.134433535
14,2837,SO_0005,7.954378601,8.208082338,8.095397486,8.135870027,7.73195597,8.028079208,8.063395555,8.125898185
15,2891,SO_0006,6.082150912,5.947638991,5.878819438,5.81137695,5.903130794,5.682119233,6.280192423,5.909145156
16,12256,SO_0006,13.68732443,14.03079914,14.08262466,14.02862646,13.91326052,14.00694786,14.03079914,14.07290457
17,3667,SO_0006,9.656816032,9.356383384,9.508970983,9.318896013,9.453463744,9.311322794,9.071378796,9.256430061
18,3633,SO_0007,6.062722663,6.811777183,6.605480819,6.508786554,7.085805313,6.910269009,7.289155164,7.21674671
19,3008,SO_0007,3.751553467,2.679612224,2.000420468,2.592712057,3.994361388,3.75823258,3.499857089,3.479791624
20,10732,SO_0008,11.95341215,11.8914159,12.48094008,12.1464991,16.51407496,16.43608066,16.46336921,16.68544733
21,1448,SO_0008,9.615169975,10.23283322,9.841613623,10.05129404,9.3214351,9.295266917,9.215912341,9.624053063
22,15240,SO_0008,,,,,,,,
23,1758,SO_0009,10.85849109,10.72101914,10.73439217,10.74937197,10.63342107,10.49188449,10.82885554,10.78736703
24,3440,SO_0009,8.965153221,8.860214317,9.00658931,8.875269667,8.846959715,8.587660663,8.439701411,8.512864238
25,1442,SO_0009,6.042345302,5.561290629,5.373955711,6.084145878,4.837632365,4.670661225,5.016812202,4.746519042
26,8151,SO_0010,7.326149351,7.10427205,6.979068876,6.887983203,6.474214362,6.841958504,6.684311543,6.811777183
27,4066,SO_0010,11.78239683,11.56231701,11.43770336,11.5556227,10.84671471,10.59912838,11.12155381,10.85043111
28,13571,SO_0010,8.500717768,8.291027173,8.531016209,8.713709003,9.426985582,9.680414624,8.88006204,9.338249099
29,9258,SO_0011,6.370144011,6.070122831,6.338180816,6.298637016,6.68167889,6.878435227,6.725367455,6.949463005
30,2634,SO_0011,12.2103194,12.88180107,12.69331681,12.86241339,9.16341404,10.28749606,10.05142151,10.56739175
31,12601,SO_0011,8.255471642,9.008691471,8.738514829,8.752903561,8.656536906,8.695119825,8.243918174,8.677279501
32,15044,SO_0012,,,,,,,,
33,4844,SO_0012,11.83692567,12.30571446,11.94433463,12.30427112,11.83156707,11.66429453,11.90000593,11.88623246
