,index,ORF,GSM635111,GSM635112,GSM635113,GSM635114,GSM635115,GSM635116,GSM635117,GSM635118
0,12954,ISSod1 transposase,2962.0,6943.333333,946.8333333,1405.666667,1421.0,1437.5,2150.666667,1933.333333
1,8579,ISSod1 transposase,47770.0,50266.33333,46255.66667,46158.66667,45252.66667,37736.66667,36164.0,49682.33333
2,6368,ISSod1 transposase,42270.0,42495.66667,41933.0,43762.0,43779.66667,47249.66667,45467.16667,57182.0
3,6590,SO_0001,6829.0,742.0,551.5,574.3333333,42.0,327.6666667,924.1666667,867.6666667
4,2489,SO_0001,17016.0,24084.0,20426.66667,24313.16667,15973.5,18808.0,26627.66667,23504.5
5,12540,SO_0001,1128.333333,1486.833333,1136.0,2554.666667,2363.666667,3011.333333,3834.666667,5228.666667
6,6877,SO_0002,2855.333333,2902.0,3861.0,4193.333333,3644.166667,4864.666667,5086.0,6031.0
7,9816,SO_0002,14266.66667,1246.0,8170.833333,6461.666667,12693.0,7260.833333,7985.333333,8594.666667
8,847,SO_0002,7020.833333,1851.333333,11122.0,7216.666667,7833.0,5734.666667,1834.166667,1863.666667
9,12475,SO_0003,687.6666667,450.6666667,551.5,1104.333333,235.3333333,676.0,292.6666667,204.3333333
10,7663,SO_0003,6351.333333,1534.166667,5053.0,8463.833333,5322.833333,5664.666667,3935.0,2119.333333
11,3770,SO_0003,8206.166667,5115.166667,9592.333333,6672.333333,9505.666667,10425.66667,5305.333333,5369.833333
12,8387,SO_0004,14890.0,19153.0,19173.66667,25744.66667,25803.33333,26285.0,28006.33333,26345.66667
13,3771,SO_0004,491.0,1976.666667,180.8333333,491.0,302.3333333,359.0,334.6666667,174.5
14,221,SO_0004,4055.333333,4622.333333,4877.666667,5110.0,5646.0,6147.333333,2344.166667,2186.0
15,12637,SO_0005,3879.0,9087.666667,1508.0,1630.333333,1893.666667,1366.333333,734.0,401.3333333
16,2014,SO_0005,1873.5,3277.666667,1567.333333,1773.333333,1893.666667,2106.666667,2045.166667,3447.333333
17,6177,SO_0005,10189.16667,2916.666667,7760.333333,6031.0,5770.333333,5707.833333,5642.166667,5038.333333
18,10560,SO_0006,2034.833333,4499.666667,1395.333333,752.5,1069.0,1130.333333,1671.333333,2651.166667
19,5513,SO_0006,2264.333333,6081.666667,3056.166667,1989.333333,551.3333333,676.0,8295.5,7164.666667
20,2297,SO_0006,1733.0,1457.333333,2895.833333,2875.0,3602.0,3593.666667,5261.666667,9121.166667
21,1902,SO_0007,7037.666667,45936.33333,2594.666667,2656.0,4061.5,3059.5,6212.833333,9615.0
22,9452,SO_0007,2168.333333,967.6666667,3820.333333,3966.333333,2123.0,2657.333333,1540.666667,1409.0
23,599,SO_0008,58975.66667,47457.66667,61968.33333,54269.66667,61968.33333,57496.0,40474.16667,63392.0
24,5733,SO_0008,1292.0,7007.5,698.3333333,949.6666667,1509.333333,1410.666667,841.6666667,763.3333333
25,9369,SO_0008,3390.0,4622.333333,2357.333333,3134.5,2987.0,3856.0,2785.333333,2186.0
26,11825,SO_0009,5215.833333,758.3333333,1287.666667,609.6666667,175.0,1102.0,599.0,551.8333333
27,7633,SO_0009,10754.33333,13625.0,5604.333333,6761.833333,9077.333333,8993.666667,15489.33333,17172.5
28,8890,SO_0009,1905.666667,7669.833333,3056.166667,4417.333333,3157.333333,5068.5,5564.0,6997.0
29,12283,SO_0010,28497.0,7254.0,30320.16667,28011.5,33066.33333,34849.33333,20779.33333,19560.33333
30,8560,SO_0010,36785.33333,41841.0,33551.5,32332.66667,30728.33333,31085.0,31503.0,43123.0
31,4620,SO_0010,16691.16667,8104.0,10775.16667,13637.66667,13930.16667,19773.66667,5863.0,8257.666667
32,3988,SO_0011,1225.5,1321.666667,581.3333333,699.6666667,333.3333333,284.0,526.8333333,507.1666667
33,6630,SO_0011,1989.333333,29917.0,1153.0,1104.333333,1509.333333,1548.666667,314.6666667,219.3333333
34,12412,SO_0011,757.6666667,108.3333333,910.6666667,660.6666667,440.5,776.0,1001.0,910.1666667
35,1475,SO_0012,3846.333333,2302.0,8736.666667,9579.0,10372.0,8028.0,12026.66667,15808.33333
36,4878,SO_0012,14022.83333,11204.66667,16827.66667,12484.66667,22612.33333,20565.0,20662.66667,15624.16667
37,11826,SO_0012,11171.0,15390.0,8100.333333,7067.666667,6908.833333,6275.833333,1292.0,1504.666667
38,11577,SO_0013,5853.0,4113.333333,5393.833333,6448.666667,10747.83333,6054.666667,18582.66667,17328.33333
39,3082,SO_0013,534.6666667,3293.5,1104.333333,1104.333333,1248.333333,997.0,1110.333333,2022.333333
40,5865,SO_0013,7525.833333,3838.666667,5178.5,7664.0,5940.333333,6654.0,8221.833333,13864.66667
41,10246,SO_0014,1400.833333,2780.5,1671.333333,1163.333333,1893.666667,1663.333333,2433.333333,2363.0
42,6217,SO_0014,20968.0,7751.0,10530.33333,13827.33333,11100.83333,13885.0,17128.66667,25955.0
43,2359,SO_0014,942.0,1144.0,749.3333333,181.0,1509.333333,761.0,1532.666667,1532.666667
44,9017,SO_0015,581.0,1351.666667,1119.666667,1531.333333,1709.5,1582.333333,2620.333333,1815.0
45,12199,SO_0015,1024.0,508.6666667,407.3333333,255.6666667,144.6666667,390.8333333,734.0,1058.333333
46,5219,SO_0015,16340.0,30624.66667,11853.33333,8157.0,8148.166667,5546.166667,6844.5,6868.333333
47,10561,SO_0016,2405.5,1719.333333,2094.666667,2572.166667,3121.666667,2022.333333,2716.333333,2090.666667
48,5452,SO_0016,6663.0,1719.333333,3476.833333,3151.333333,3644.166667,3974.166667,4169.666667,2732.0
49,540,SO_0016,41475.0,46146.33333,54940.0,59924.66667,53910.0,48379.0,37970.83333,43738.66667
50,6726,SO_0017,15668.33333,15780.33333,11262.66667,12686.16667,17346.83333,12550.33333,10629.66667,9750.5
51,3083,SO_0017,522.3333333,486.1666667,879.0,832.1666667,890.6666667,609.1666667,1419.0,1071.333333
52,11744,SO_0017,8016.0,27167.0,551.5,629.0,717.8333333,1232.333333,480.0,798.0
53,1401,SO_0018,1959.833333,2725.333333,3251.666667,3220.0,4894.666667,3491.0,1530.666667,5564.666667
54,11043,SO_0018,26505.0,16522.0,22254.33333,25762.5,14016.16667,16980.66667,13398.5,11710.66667
55,6273,SO_0018,1277.0,844.5,1240.0,1565.0,1564.666667,2544.333333,1540.666667,1736.333333
56,3346,SO_0019,2437.333333,1802.5,5067.5,6084.666667,6763.5,4530.666667,2806.833333,1830.666667
57,344,SO_0019,711.3333333,2265.0,831.3333333,813.0,850.3333333,908.3333333,308.0,329.0
58,10048,SO_0019,3680.666667,630.3333333,9948.0,8940.666667,9545.5,9825.166667,2452.333333,3175.666667
59,10416,SO_0020,1232.5,1515.666667,698.3333333,853.6666667,1114.0,920.1666667,915.0,781.3333333
60,1185,SO_0020,54562.0,45072.0,52693.66667,43520.66667,54143.66667,48895.33333,62146.0,44282.33333
61,4621,SO_0020,37416.83333,4537.333333,37313.16667,30218.66667,35655.66667,35381.0,40474.16667,34604.0
62,2598,SO_0021,982.0,1457.333333,1056.333333,1240.666667,1893.666667,1198.0,1822.666667,3175.666667
63,13220,SO_0021,8643.333333,11266.66667,15618.33333,23385.0,21164.16667,23373.0,18199.33333,19297.66667
64,7569,SO_0021,1341.666667,2953.0,3170.333333,2486.0,1938.333333,3046.666667,2351.166667,1085.666667
65,5948,SO_0022,1142.166667,887.3333333,2181.833333,2144.666667,1709.5,1769.0,813.0,1111.666667
66,408,SO_0022,135.0,564.6666667,69.83333333,163.0,235.3333333,184.6666667,44.66666667,174.5
67,10417,SO_0022,4360.333333,2317.0,2094.666667,2618.5,1938.333333,4027.666667,553.5,488.0
68,12135,SO_0023,1134.666667,2953.0,749.3333333,1314.0,761.5,1713.833333,1723.5,1756.666667
69,7279,SO_0023,508.5,486.1666667,1545.333333,2129.666667,1421.0,1086.0,1174.166667,936.6666667
70,2857,SO_0023,5134.666667,3468.666667,4240.0,3802.0,5986.666667,4934.0,8271.833333,5691.0
