,GENE,GSM769226,GSM769227,GSM769228,GSM769229,GSM769230,GSM769231,GSM769232,GSM769233
0,SO0001,-4.709751521,-3.277011991,-2.445949537,-4.690182409,-5.057405907,-4.865777103,-3.009386759,-1.075725455
1,SO0001,-3.137672127,-3.285299128,,,-3.77063581,-5.239780251,-2.656364591,-1.953226652
2,SO0001F,1.360179727,-1.669633856,0.301760033,,1.920205775,0.683090873,-1.240575709,-0.014719005
3,SO0001F,-2.694412437,-2.984688541,1.13598177,1.497332341,-0.15069367,,1.222004831,-3.706159098
4,SO0002,-5.226065669,,,,,,,
5,SO0002,-4.639583846,,,,-9.208824001,-5.077512801,,
6,SO0003,-1.841989941,-1.877762723,-3.430821606,-2.801510353,-1.68563011,-1.709027878,-1.941133444,-1.253912975
7,SO0003,-2.921594217,-2.384767436,-3.130819658,-3.547396864,-5.602711066,-2.315331319,-2.159817363,-2.141384225
8,SO0004,-4.056863007,-4.093297681,-4.661105716,-3.956464484,-5.566618043,-3.940758445,-3.020812152,-3.849356025
9,SO0004,-3.810149539,-4.094434964,-4.872413712,-5.084797926,-5.362882737,-2.999362964,-4.371147723,-3.108278809
10,SO0005,-0.706182644,-3.480193428,-4.844021595,-3.824712266,-4.236183014,-3.478275366,-2.401921998,-2.737067037
11,SO0005,-3.667914331,-4.170569245,-5.172651591,-7.264506828,-3.741502381,-3.182971972,-2.891437264,-2.781317136
12,SO0006,-2.739013559,-2.589096755,-4.182559944,-3.47845097,-4.463808994,-3.306491996,-1.474500983,-4.030479362
13,SO0006,-4.11664566,-3.89922573,,,-4.671550982,-3.665651829,-4.718603828,-5.983522438
14,SO0007,-2.44117692,-3.271719865,-4.120065305,-3.316745812,-4.275608547,-4.229374879,-3.321050642,-2.995600537
15,SO0007,-2.870531248,-3.213504022,-3.392487769,-4.634840436,-5.024610903,-3.081673052,-2.6317193,-2.684357446
16,SO0008,-2.149567537,-2.424909085,-5.695281272,-2.422738318,-4.045222115,-2.223374943,-2.042314152,-1.384233155
17,SO0008,-3.022600854,-2.468956304,-3.057019931,,-4.518340872,-2.174047145,-1.749680161,-2.338967501
18,SO0009,-1.983706092,-2.40018537,-4.196858372,-1.719793756,-3.757575932,-2.313633732,-1.303179934,-1.144134865
19,SO0009,-2.034870732,-2.823657756,-3.598728539,-4.622622629,-3.692572912,-2.38121284,-2.869434558,-1.567074695
20,SO0009F,-1.062295772,-0.927721857,-1.170212859,0.156875606,,0.274709181,0.522990465,-0.198881036
21,SO0009F,-0.363830147,2.327143343,4.299738486,-2.324595208,,-0.866552048,-0.171774679,0.795736993
22,SO0010,-3.031433056,-3.419594354,-3.184946294,-3.770058978,-4.816049968,-3.157841138,-2.258027256,-3.625617717
23,SO0010,-3.404933368,-3.533060607,-6.558828044,-8.012986762,-2.90985742,-3.27412119,-3.257366931,-2.661621219
24,SO0010F,1.110821516,,,-1.139399386,1.299701012,-1.497794254,-0.150413905,-0.394423404
25,SO0010F,-0.813152146,2.862169147,-0.325328669,-0.340739295,2.809835276,-0.285323399,,0.297334066
26,SO0011,-3.145068507,-3.546438891,-4.244011097,-3.059417214,-4.183551156,-3.186244301,-2.685120283,-3.326482594
27,SO0011,-3.411413239,-3.706144135,-3.776564104,-3.995593751,-4.607649854,-3.728678511,-3.620766126,-3.143146025
28,SO0012,-0.507421065,,-1.025282461,-0.93196123,-1.589789578,-1.332637105,-1.04714011,-0.460126145
29,SO0012,-1.073945938,-0.44498121,-0.854000208,-1.946385878,-4.038078309,-1.408288838,-0.567922314,-1.389491631
30,SO0013,,,,,-2.032913159,-2.225603471,-1.115664654,1.273134397
31,SO0013,-1.739028464,-2.276377423,-11.96446505,,-3.327874779,-3.067233283,-2.152658428,0.353176649
32,SO0014,-3.077204581,-3.101123031,-3.47184485,-2.533981763,-3.504081359,-2.296340403,-1.76258874,-2.871341353
33,SO0014,-3.04585682,-3.852190732,-3.923583366,-4.111976054,-4.246611493,-2.812059513,-3.370089818,-2.333467083
34,SO0015,-3.252414585,-4.832135916,-3.703380863,-3.43602397,-3.126034388,-2.020691233,-2.627962929,-1.852043931
35,SO0015,-4.277615009,-3.840410473,-4.079042821,-4.883671665,-5.555140335,-2.69727753,-2.054504779,-3.417222663
36,SO0016,-0.425122483,-0.68460178,-2.491835291,-1.11385317,-2.011233947,-0.505031868,-1.530380252,-2.19028113
37,SO0016,-0.087834494,-0.854621264,-1.881989092,,-1.297507988,-0.366065641,-1.835072927,-2.189575602
38,SO0017,-1.005324842,-0.442660884,-2.431378569,0.356931931,-1.784080862,-0.04646897,-0.001047302,-1.404335804
39,SO0017,-1.598472642,-2.605125475,-8.916404261,0.559904931,-1.509259151,-0.440345017,-0.503754593,-2.229642072
40,SO0017F,-1.346816152,-1.296775367,-3.482899763,,-2.202318535,-0.852682355,-0.789670283,-1.691828531
41,SO0017F,-2.54049664,-3.878922015,,-3.772888823,-2.628071505,-0.69873551,-1.841576577,-2.772134155
42,SO0018,-2.274712126,-1.686111631,-3.785592742,-2.262036678,-0.026133061,-1.218078134,-0.881035698,-2.913148853
43,SO0018,-0.925042307,-2.337735415,-1.816984303,,-1.268369818,,-2.857357818,-0.803901547
44,SO0019,-4.91238251,-1.455213545,-2.348733079,1.052437862,-2.573958631,-2.679881228,-2.087694658,-2.051290907
45,SO0019,-2.378110043,-2.550226238,-1.773700777,0.938644297,-4.927924238,-1.787475984,-1.892753142,-2.681154057
46,SO0020,-0.614723262,0.564646417,-1.746129746,-0.212525783,-1.767723356,-0.725337557,-0.866371556,-1.294754486
47,SO0020,0.462509534,-0.365749168,-1.384590046,-1.086123419,-1.600291419,-0.543062034,-1.919003895,-1.404379155
48,SO0021,-0.266657715,-0.444902169,-1.337644393,-2.014785335,-2.806500363,-0.991622554,-2.02964671,-1.670984913
49,SO0021,-1.302586136,-1.754496827,-1.495268483,-1.308162252,-2.564377632,-1.239009071,-1.021179891,-2.062315066
50,SO0022,1.123522881,0.063968378,-0.88570415,-1.757521005,-0.977691617,0.666745369,-0.817239874,-1.440145319
51,SO0022,0.703586328,0.865765816,-1.057937246,0.883737843,-0.864995976,0.044049847,-0.522772285,-1.795984608
52,SO0023,-1.105091409,-1.30340412,,-1.536668424,0.666873184,-1.757863862,-1.580015554,
53,SO0023,-1.467862278,-2.241638311,-1.560109705,,-1.000226506,,,
54,SO0024,-0.87265607,-2.693991647,,-2.456219495,-2.177511749,,,-4.796480374
55,SO0024,-2.370094862,-3.143273383,,,-3.630712685,-1.7998006,-3.015798579,
56,SO0024F,-0.380036667,-1.870042958,,-3.617036278,-0.913634746,,-3.302045803,-0.692712835
57,SO0024F,,-0.706383722,-5.567271807,,-0.941974746,0.364487037,-2.788112796,-0.332636923
58,SO0025,-1.171119573,-1.209618231,-1.587569036,-1.691136043,-2.783484195,-1.452957004,-1.569241644,-1.353607812
59,SO0025,-0.94545227,-0.419793506,-1.914860526,-1.129227866,-2.056751187,-0.975089999,-1.103459514,-1.819454074
60,SO0026,0.421841589,0.457179186,-0.350425935,-0.059286117,-0.891070124,-0.132586165,-0.601551482,-0.354457611
61,SO0026,-0.330332586,-0.269181257,0.233891868,1.39761024,-2.89392518,-0.694199356,0.011588021,-0.65953399
62,SO0027,1.053223254,2.134544449,-0.621912133,1.240566078,-1.275580255,-0.318249729,-0.645719912,-1.303470495
63,SO0027,1.489419503,0.843123806,-0.589811588,0.273986759,-0.567536408,-0.529331443,-1.222831757,-1.137870063
64,SO0028,-0.046602006,-0.531080371,-2.771253389,,-3.606946175,-2.141814708,-2.135565735,-2.76894633
65,SO0028,0.898376362,1.0137594,-0.935148505,-1.887797487,-2.615861076,-2.497245099,-3.626976545,-2.884530061
66,SO0029,-1.324827624,-1.772532599,-1.442857239,-1.120929192,-3.454644904,-0.842518506,-1.226908404,-1.597595279
67,SO0029,-1.185048552,-2.182916087,-2.224849732,-2.064735134,-3.490908891,-1.14388864,-2.531989204,-1.39097085
68,SO0030,0.131988442,-0.228802452,-0.94799823,-0.229942194,-2.843489896,-1.288494808,-0.247231463,-2.136156277
69,SO0030,-0.60549371,-1.823456141,-3.325018674,,-3.234711895,-1.139509669,-2.60511449,-0.272078136
70,SO0030F,-0.894441778,-0.726498309,-0.285442893,2.005287259,-4.090340017,-1.835272379,-0.911928734,-1.020029278
71,SO0030F,-0.874907087,-1.400852519,-0.364388996,-0.849040682,-5.505911307,-0.927092592,-0.734776897,-0.641575329
72,SO0031,-1.298964149,-1.831721263,-1.397484421,-2.797394046,-1.974415551,-3.697962852,-2.585584334,-1.218913717
73,SO0031,-1.641263718,-2.125963821,-1.572014106,-1.823724502,-0.708233421,-1.332533437,-1.522775706,-1.029257351
74,SO0032,-1.027834434,-0.66098209,-0.404983076,-0.746426197,-2.53506543,-1.287950139,-0.941753947,-1.042453406
75,SO0032,-0.59834305,-0.770191048,-0.339502525,-0.456812553,-2.061299155,-1.061604033,-0.939622443,-0.573247213
76,SO0033,-0.029353338,-0.024275799,-0.087053398,0.265469797,-1.008373967,-0.30759886,-0.711047401,0.204072896
77,SO0033,-0.26517867,-0.131274889,0.028874484,0.15056815,-1.247801794,0.370335586,-0.216746721,0.031942731
78,SO0034,-2.808507563,-4.049039131,-3.898995963,-3.849411005,-1.992338328,-2.202494773,-0.945191383,0.573866399
79,SO0034,-1.131776393,-2.574795834,,-5.79438357,-1.909762683,-3.118651281,-2.82123373,0.885235801
80,SO0034F,-0.491353419,-1.188444088,0.172208228,2.555126559,,-0.227700897,,-0.759431015
81,SO0034F,0.265524846,-0.956963107,0.515516525,0.431114565,,-0.020673897,-1.543796766,
