,index,ORF,GSM87832,GSM88468,GSM88469,GSM88470,GSM88471,GSM88472,GSM88473,GSM88474,GSM88475,GSM88476,GSM88477,GSM88478,GSM88479,GSM88482,GSM88537,GSM88538,GSM88539,GSM88540,GSM88541,GSM88542
0,8601,SO0001,-0.349235441,-0.486004021,-0.395928676,,,,-0.488026018,-0.286304185,0.100304906,0.021479727,0.136191386,0.362890643,-0.098505545,-0.078563669,0.182692298,0.562669826,0.067638717,-0.067938829,-0.475936324,-0.035046947
1,2841,SO0001,-0.349235441,-0.486004021,-0.395928676,-0.390245038,,,-0.488026018,-0.286304185,0.100304906,0.021479727,0.136191386,0.362890643,0.039840265,-0.078563669,0.182692298,0.562669826,0.067638717,-0.067938829,-0.475936324,-0.035046947
2,5172,SO0001F,,,,,,,,,,,,,,,,,,,,-0.444183845
3,10932,SO0001F,,,,,,,,,,,,,,,,,,,0.947853143,-0.444183845
4,2296,SO0002,-0.662003536,-0.821126042,-0.788364747,-0.584241333,-0.291592017,-0.23786383,-0.027674958,0.113700499,-0.209227962,-0.171368418,0.187767747,0.142740172,,0.275007047,-0.492078535,0.291603558,-0.279283757,0.64800518,-0.641603738,0.221567789
5,8056,SO0002,-0.662003536,-0.821126042,-0.788364747,-0.584241333,-0.291592017,-0.23786383,-0.027674958,0.113700499,-0.209227962,-0.171368418,0.187767747,0.142740172,0.22897257,0.275007047,-0.492078535,0.291603558,-0.279283757,0.64800518,-0.641603738,0.221567789
6,5176,SO0003,0.480265122,0.576280258,0.311503115,0.435095152,0.317304068,0.093560176,1.027154052,0.865522959,0.630405471,0.631337144,0.59645814,0.693319679,,0.3068455,1.257010618,0.953823954,0.840765337,0.314986485,0.35952117,0.204140717
7,10936,SO0003,0.480265122,0.576280258,0.311503115,0.435095152,0.317304068,0.093560176,1.027154052,0.865522959,0.630405471,0.631337144,0.59645814,0.693319679,0.191562651,0.3068455,1.257010618,0.953823954,0.840765337,0.314986485,0.35952117,0.204140717
8,8036,SO0004,0.275007047,0.253384236,0.40599236,0.409255147,0.140124224,0.364012054,0.526068812,0.510961919,0.49978212,0.49057013,0.665392771,0.602171791,,0.293958979,0.729444007,0.890641244,0.145351386,0.653518671,0.094911647,0.425459305
9,2276,SO0004,0.275007047,0.253384236,0.40599236,0.409255147,0.140124224,0.364012054,0.526068812,0.510961919,0.49978212,0.49057013,0.665392771,0.602171791,-0.304006187,0.293958979,0.729444007,0.890641244,0.145351386,0.653518671,0.094911647,0.425459305
10,5156,SO0005,0.317304068,0.297484916,0.444667067,0.471967788,0.415758667,0.39835037,0.961993677,0.442545456,0.941857519,0.932061171,0.36960607,0.389566812,0.001441974,-0.023269779,1.341985747,0.725959235,0.779890039,0.032806145,0.695993813,-0.123433941
11,10916,SO0005,0.317304068,0.297484916,0.444667067,0.471967788,0.415758667,0.39835037,0.961993677,0.442545456,0.941857519,0.932061171,0.36960607,0.389566812,,-0.023269779,1.341985747,0.725959235,0.779890039,0.032806145,0.695993813,-0.123433941
12,4595,SO0006,0.347098671,0.390667686,0.553851968,0.440420721,0.343692069,0.180147861,0.663572335,0.387362541,0.932061171,0.923719679,0.410341105,0.42867841,0.600269754,0.102993993,1.24610401,0.595503661,0.772307975,-0.215914857,0.892973815,-0.10780329
13,10355,SO0006,0.347098671,0.390667686,0.553851968,0.440420721,0.343692069,0.180147861,0.663572335,0.387362541,0.932061171,0.923719679,0.410341105,0.42867841,-0.114035243,0.102993993,1.24610401,0.595503661,0.772307975,-0.215914857,0.892973815,-0.10780329
14,5744,SO0007,0.504874589,0.166072676,0.471967788,0.453122447,0.275007047,0.352758525,0.048236186,0.467801156,1.060739158,0.358396262,-0.078563669,0.358396262,0.015782997,0.665392771,1.014355293,1.097610797,0.153156788,0.457331625,0.852797893,0.38294387
