index,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,CONCEPTS
GSE220284_group1,SO_1222,SO_3990,SO_4048,SO_1894,SO_3822,SO_3303,SO_0746,SO_3875,SO_3726,SO_2008,SO_2228,SO_1736,SO_1825,SO_0011,SO_4552,SO_0074,SO_4075,SO_3549,SO_2347,SO_0322,"['GO_0040007', 'GO_0042755', 'GO_0009269', 'GO_0042221', 'GO_0042743', 'GO_0009636', 'GO_0042542', 'GO_0051301', 'GO_0010043', 'GO_0009268']"
GSE142643_group1,SO_2223,SO_3566,SO_1350,SO_2894,SO_2407,SO_1124,SO_0888,SO_1445,SO_3470,SO_4480,SO_2347,SO_3384,SO_1793,SO_0863,SO_4208,SO_3061,SO_4314,SO_2016,SO_0008,SO_4550,"['GO_0044848', 'GO_0070583', 'GO_0043085', 'GO_0043034', 'GO_0007005', 'GO_0044445', 'GO_0071026', 'GO_0051402', 'GO_0016738', 'GO_0010729']"
GSE142643_group2,SO_2223,SO_3566,SO_1350,SO_2894,SO_1124,SO_2407,SO_0888,SO_1445,SO_3470,SO_4480,SO_2347,SO_3384,SO_0863,SO_4314,SO_1793,SO_2016,SO_4208,SO_3061,SO_0008,SO_0526,"['GO_0044848', 'GO_0050896', 'GO_0048856', 'GO_0022900', 'GO_0040011', 'GO_0016043', 'GO_0009860', 'GO_0048544', 'GO_0009987', 'GO_0000003']"
GSE142643_group3,SO_1427,SO_2121,SO_0197,SO_1749,SO_1015,SO_1203,SO_2281,SO_2399,SO_1350,SO_3683,SO_3181,SO_0938,SO_2601,SO_3354,SO_4208,SO_2347,SO_3960,SO_4342,SO_1289,SO_4703,"['GO_0017004', 'GO_0044464', 'GO_0005623', 'GO_0044422', 'GO_0005622', 'GO_0055114', 'GO_0008152', 'GO_0044237', 'GO_0033036', 'GO_0022613']"
GSE142642_group1,SO_3566,SO_2223,SO_2121,SO_1427,SO_1749,SO_4480,SO_3686,SO_1015,SO_1793,SO_3104,SO_2399,SO_1203,SO_0526,SO_3683,SO_0197,SO_3831,SO_2601,SO_4618,SO_0008,SO_4305,"['GO_0043269', 'GO_0010027', 'GO_0044769', 'GO_0005886', 'GO_0005634', 'GO_0043202', 'GO_0005871', 'GO_0044424', 'GO_0030176', 'GO_0005576']"
GSE142641_group1,SO_1350,SO_2223,SO_3566,SO_2407,SO_2894,SO_0863,SO_1445,SO_1124,SO_2016,SO_3384,SO_0888,SO_3104,SO_4480,SO_3061,SO_3470,SO_2347,SO_0290,SO_0562,SO_1793,SO_0526,"['GO_0045944', 'GO_0051321', 'GO_0043066', 'GO_0008283', 'GO_0016310', 'GO_0032935', 'GO_0055114', 'GO_0055117', 'GO_0006810', 'GO_0019553']"
GSE102264_group1,SO_1190,SO_1017,SO_2008,SO_2708,SO_2045,SO_4743,SO_2588,SO_4105,SO_2421,SO_0566,SO_1268,SO_1015,SO_0565,SO_2410,SO_1010,SO_4155,SO_0168,SO_0239,SO_1013,SO_0939,"['GO_0040007', 'GO_0030154', 'GO_0006091', 'GO_0009892', 'GO_0009435', 'GO_0050896', 'GO_0006970', 'GO_0010035', 'GO_0033554', 'GO_0009058']"
GSE102264_group2,SO_2117,SO_1890,SO_1830,SO_0864,SO_2460,SO_1822,SO_0925,SO_2427,SO_2795,SO_2469,SO_4530,SO_1503,SO_1787,SO_2144,SO_1476,SO_1227,SO_1317,SO_0056,SO_3280,SO_2924,"['GO_0040007', 'GO_0043066', 'GO_0009416', 'GO_0006950', 'GO_0071214', 'GO_0010036', 'GO_0009741', 'GO_0009651', 'GO_0009611', 'GO_0071489']"
GSE102264_group3,SO_0864,SO_2117,SO_1830,SO_0925,SO_1227,SO_3764,SO_1787,SO_2460,SO_2795,SO_4667,SO_3787,SO_2829,SO_2469,SO_3551,SO_2427,SO_1503,SO_4592,SO_1317,SO_1890,SO_0056,"['GO_0008152', 'GO_0007049', 'GO_0019222', 'GO_0007165', 'GO_0010033', 'GO_0040007', 'GO_0046939', 'GO_0007568', 'GO_0043066', 'GO_0006281']"
GSE97220_group1,SO_0976,SO_1362,SO_1361,SO_0817,SO_3412,SO_0818,SO_3413,SO_2196,SO_2427,SO_0456,SO_2440,SO_2857,SO_2441,SO_2856,SO_2442,SO_0085,SO_3599,SO_2443,SO_2855,SO_2854,"['GO_0008219', 'GO_0000387', 'GO_0001774', 'GO_0007154', 'GO_0005829', 'GO_0016567', 'GO_0050794', 'GO_0043327', 'GO_0009611', 'GO_0005266']"
