GENE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SO1518_x_at,3866.9658316798223,3.0185167532212795,0.2375489187420407,12.706926931960274,5.411972440697439e-37,5.151656566299892e-33
UP_SO2161_s_at,5257.418709361993,-3.941877900562128,0.3147873617774883,-12.52235120973026,5.6341054016431076e-36,2.681552465912037e-32
SO3819_at,4730.58377852043,3.0051062784057154,0.2494232692546882,12.048219427904204,1.9818484523869316e-33,6.2884051394237345e-30
UP_SO2029_s_at,5305.4859924864395,-5.870301283859301,0.48971469377893484,-11.987186332026315,4.1475515890241634e-33,9.870135893980252e-30
IG_SO4270_SO4271_at,3469.4638810204756,-3.386557199075124,0.2854870753224955,-11.8623835956481,1.856146422804009e-32,3.533731559734273e-29
UP_SO2872_at,1702.7351326339437,-7.816005095898149,0.7071529228923921,-11.052779169644351,2.1253171886957195e-28,3.3718157198657594e-25
SO1915_at,5179.294259859501,2.724752647397591,0.24690372648988876,11.035688631087453,2.5707457521888477e-28,3.495846973583663e-25
UP_SO3102_at,2078.5602749426025,-4.01869130491563,0.3662399859830913,-10.972836005681714,5.162721308385963e-28,6.142993016815748e-25
UP_SO3299_at,1569.5473436349876,-5.408577109787427,0.503292364068076,-10.746392148830328,6.162513513980029e-27,6.517885126619544e-24
SO1519_at,13535.024100771318,4.120068677826962,0.38805382861056603,10.617260735653467,2.477239504184065e-26,2.3580842840328114e-23
SO1362_x_at,5334.4091651955205,2.6629936421026654,0.2511401555366457,10.603615484796848,2.8667846060436214e-26,2.4808111513572028e-23
UP_SO2202_at,3207.4110358975836,-4.220451864847197,0.3990937921234679,-10.575087731611504,3.8881343155128024e-26,3.084262545780531e-23
SO4349_at,16837.427370708217,3.1058804248757608,0.3067048615327866,10.126609696872196,4.2099376461136874e-24,3.082645881027399e-21
SO1361_x_at,5594.935964198109,2.8384285347664595,0.2806116959653059,10.115146929290486,4.7330631483980876e-24,3.218144864971528e-21
SO4319_at,6850.349695400621,2.5630759743514475,0.2578938529505131,9.938491922268781,2.830801217564539e-23,1.7964264526664565e-20
IG_SO0392_SO0393_x_at,2221.890372077826,-4.661181397479979,0.47003792354851737,-9.916607073511699,3.525366993940506e-23,2.0973730259574798e-20
UP_SO1872_at,1571.9136048990463,-3.5724471990824274,0.36157799149318454,-9.880156655358173,5.0753504108132973e-23,2.841897680031281e-20
