NAME,CONCEPTS,Vector_1,Vector_2,Vector_3,Vector_4,Vector_5,Vector_6,Vector_7,Vector_8,Vector_9,Vector_10,Vector_11,Vector_12,Vector_13,Vector_14,Vector_15,Vector_16,Vector_17,Vector_18,Vector_19,Vector_20,Vector_21,Vector_22,Vector_23,Vector_24,Vector_25,Vector_26,Vector_27,Vector_28,Vector_29,Vector_30,Vector_31,Vector_32,Vector_33,Vector_34,Vector_35,Vector_36,Vector_37,Vector_38,Vector_39,Vector_40,Vector_41,Vector_42,Vector_43,Vector_44,Vector_45,Vector_46,Vector_47,Vector_48,Vector_49,Vector_50,Vector_51,Vector_52,Vector_53,Vector_54,Vector_55,Vector_56,Vector_57,Vector_58,Vector_59,Vector_60,Vector_61,Vector_62,Vector_63,Vector_64,Vector_65,Vector_66,Vector_67,Vector_68,Vector_69,Vector_70,Vector_71,Vector_72,Vector_73,Vector_74,Vector_75,Vector_76,Vector_77,Vector_78,Vector_79,Vector_80,Vector_81,Vector_82,Vector_83,Vector_84,Vector_85,Vector_86,Vector_87,Vector_88,Vector_89,Vector_90,Vector_91,Vector_92,Vector_93,Vector_94,Vector_95,Vector_96,Vector_97,Vector_98,Vector_99,Vector_100,SO_0001,SO_0002,SO_0003,SO_0004,SO_0005,SO_0006,SO_0007,SO_0008,SO_0009,SO_0010,SO_0011,SO_0012,SO_0013,SO_0014,SO_0015,SO_0016,SO_0017,SO_0018,SO_0019,SO_0020
GSM100358,"['GO_0009631', 'GO_0042309', 'GO_0080190', 'GO_0080192', 'GO_0046079', 'GO_0140739', 'GO_0140454', 'GO_0106379', 'GO_0050825', 'GO_0010346']",0.565920338,-0.308459084,-0.362755784,0.060074406,0.042721531,-0.009126849,0.303393352,0.370377316,0.513310385,-0.551042803,-0.280292178,-0.31070516,0.14923343,1.135511359,-0.145079283,-0.625680881,0.058740324,-0.40147281,-0.771555455,-0.066372812,0.464090926,0.689004294,0.308507476,-0.002035159,-0.3011583,0.183173292,-0.122834147,0.316074337,0.277373044,-0.178032515,0.405487041,0.722417411,0.080387875,0.194058902,0.14935215,-0.162775907,-0.203266645,-0.52158671,-0.68553258,-0.166571937,0.211205305,0.10840942,-0.380416372,0.63208589,0.052253801,0.162805757,0.265053649,0.351620154,0.872545301,-0.251871966,-0.824312614,-1.114440359,0.502059154,-0.557520725,0.029665698,0.36761862,-0.156465829,-0.048527216,-0.330446496,0.302586365,0.013844153,-0.721913504,-0.042460776,-0.278478376,-0.280660409,0.051338394,0.126671502,-0.139413373,-0.68696034,-0.206894466,0.500679852,0.290653111,0.181815217,-0.351247941,0.198564818,0.242868258,0.200621658,-0.001538529,-0.441327779,-0.314625802,0.402717875,-0.1798777,-0.320892365,0.189019523,-0.029268772,-0.681381404,0.232403918,0.241085275,-0.121731465,0.16850428,-0.679585593,0.021685191,0.26573151,-1.109092808,0.089482535,0.264618941,-0.082116235,0.475564519,0.105985649,0.00212924,"('SO_0581', 9.177217954844359)","('SO_2098', 7.325804496027394)","('SO_3626', 7.219014291329447)","('SO_4512', 7.011333848770304)","('SO_2097', 6.243963162726684)","('SO_4566', 5.962619990461096)","('SO_2959', 5.5819622032933305)","('SO_4513', 5.3830604818384)","('SO_1415', 5.292955180544968)","('SO_1648', 5.284722085064699)","('SO_0325', 4.979156406783061)","('SO_2834', 4.676719129440656)","('SO_0680', 4.659371167843977)","('SO_1489', 4.314894197903146)","('SO_3403', 4.289382062610603)","('SO_0944', 4.2862345950525)","('SO_0490', 4.152149322241342)","('SO_2664', 4.149337796710959)","('SO_2886', 4.112387904054174)","('SO_0108', 4.083076295758562)"
GSM100396,"['GO_0009631', 'GO_0042309', 'GO_0080190', 'GO_0080192', 'GO_0046079', 'GO_0140739', 'GO_0140454', 'GO_0106379', 'GO_0050825', 'GO_0010346']",0.432152285,-0.360945115,-0.354559869,0.282615932,-0.017359085,-0.062312266,0.291219252,0.26213699,0.595042142,-0.363473662,-0.352351344,-0.451741054,0.066531846,0.703620815,-0.200846876,-0.79913683,-0.151432166,-0.353308344,-0.410836275,-0.071367289,0.286071282,0.526959184,0.169874885,0.00330819,-0.28881484,0.223786233,-0.298973169,0.17353627,0.011316666,-0.19554625,0.072159517,0.415079316,0.154972337,0.424508946,0.493277676,-0.286239921,-0.133823673,-0.224679159,-0.317580652,-0.163712431,0.365152058,0.512082161,-0.20097011,0.335254752,0.061918125,0.16116711,0.304607486,0.158724906,0.499543002,-0.209255758,-0.738036275,-0.75043356,0.425694597,-0.337928244,0.085913371,0.007158169,-0.080194336,0.010886084,-0.050284547,0.181590926,-0.1291373,-0.645298031,0.257407769,-0.582563735,-0.107793908,0.070666451,0.406397753,0.116294471,-0.446399581,-0.056419873,0.266380425,0.329290938,0.159370458,-0.440884609,-0.07522547,0.020023587,0.199823418,0.365935244,-0.420847745,-0.000146678,0.3703862,-0.050929314,0.037595535,0.06755763,-0.189022851,-0.544641365,0.651393893,0.163013343,-0.29507961,0.210206742,-0.594809446,-0.114150016,0.204870316,-0.881793277,-0.037841642,0.113437397,0.137741919,0.098803513,-0.132078342,-0.258019603,"('SO_0581', 9.177211461354625)","('SO_2098', 7.3257943421475655)","('SO_3626', 7.219031606576695)","('SO_4512', 7.011328231277968)","('SO_2097', 6.243960475285378)","('SO_4566', 5.962607477209981)","('SO_2959', 5.581939634401908)","('SO_4513', 5.383074352827205)","('SO_1415', 5.292970908906825)","('SO_1648', 5.28474041268968)","('SO_0325', 4.979153752538874)","('SO_2834', 4.676709757946394)","('SO_0680', 4.659352072174945)","('SO_1489', 4.314894423290814)","('SO_3403', 4.289364036972318)","('SO_0944', 4.2862520447900385)","('SO_0490', 4.152145871434817)","('SO_2664', 4.149354061100043)","('SO_2886', 4.112402903455282)","('SO_0108', 4.0830845653311165)"
GSM100397,"['GO_0009631', 'GO_0042309', 'GO_0080190', 'GO_0080192', 'GO_0046079', 'GO_0140739', 'GO_0140454', 'GO_0106379', 'GO_0050825', 'GO_0010346']",0.899133418,-0.31053552,-0.286438946,0.283599403,-0.199708976,0.276641575,0.513754167,0.126260914,0.488122422,-0.353375716,-0.416626223,-0.411569859,0.035197848,1.014041989,0.049347096,-0.758906336,0.336494101,-0.348543586,-0.721534844,-0.171441926,0.408419738,0.698895503,0.079909398,-0.060079376,0.091282177,0.076587301,-0.207522696,0.398385324,0.370301814,-0.182328645,0.244892639,0.770072087,0.061376129,0.439776993,0.655109268,-0.280037445,-0.351262079,-0.573535366,-0.522694622,-0.308094804,0.255666864,0.301645905,-0.38444378,1.031903012,0.067282002,0.110946032,0.332945795,0.155592778,0.687436983,-0.24328071,-0.861154084,-0.954732954,0.733936105,-0.553152382,0.017392556,0.344176079,-0.236085587,0.092499809,0.102473175,0.376079179,-0.069282891,-0.906447203,-0.027370717,-0.281385152,-0.096673245,0.305404007,0.004480698,0.165396513,-0.802724538,-0.129944702,0.445113607,-0.047712976,0.19760372,-0.248978323,0.311083066,0.264189125,0.13100108,0.298087089,-0.368451525,-0.396101519,0.519641801,-0.046666319,-0.412401874,0.275176567,-0.426376734,-0.504527886,0.332627018,0.493526234,-0.227104996,0.182155075,-0.609028191,-0.098785895,0.251474602,-1.068863583,-0.072843418,-0.197770395,-0.182157025,0.589087251,0.059499258,-0.214062805,"('SO_0581', 9.17721146320115)","('SO_2098', 7.325794343797346)","('SO_3626', 7.219031608214411)","('SO_4512', 7.011328227596171)","('SO_2097', 6.243960471810898)","('SO_4566', 5.96260747572159)","('SO_2959', 5.581939637687036)","('SO_4513', 5.383074354241416)","('SO_1415', 5.292970905707861)","('SO_1648', 5.284740414090915)","('SO_0325', 4.979153753898995)","('SO_2834', 4.676709759264558)","('SO_0680', 4.659352075176337)","('SO_1489', 4.314894424556961)","('SO_3403', 4.289364038234715)","('SO_0944', 4.286252046051977)","('SO_0490', 4.152145872676856)","('SO_2664', 4.149354062341665)","('SO_2886', 4.112402904691362)","('SO_0108', 4.083084566562783)"
GSM100398,"['GO_0009631', 'GO_0042309', 'GO_0080190', 'GO_0080192', 'GO_0046079', 'GO_0140739', 'GO_0140454', 'GO_0106379', 'GO_0050825', 'GO_0010346']",0.448613718,-0.132203074,-0.427442148,0.224400054,0.001295958,-0.095739359,0.36970419,0.330529993,0.522457605,-0.296163561,-0.244766331,-0.056200207,0.212640584,0.796360824,-0.282969059,-0.854258672,-0.106831135,-0.239059825,-0.486078163,0.026947835,0.546859465,0.536296057,0.043156166,-0.102711781,-0.553754651,0.25428283,-0.196387208,0.263257387,0.107243506,-0.193089823,0.095105574,0.306845271,0.048231719,0.464757832,0.668024887,-0.052320246,-0.227139488,-0.42108519,-0.499948447,-0.417328886,0.347519255,0.164041988,-0.269697656,0.294544975,-0.075288287,0.198760983,0.193929912,0.111479732,0.577557988,-0.342066914,-0.573076405,-0.876400592,0.370470795,-0.37778639,0.113776957,0.255095453,-0.247823744,-0.131349603,0.122112725,0.46973038,-0.071546206,-0.564451492,0.224983063,-0.356601013,-0.138903862,-0.042668279,0.291246228,0.012880092,-0.674719807,-0.151601452,0.201174799,0.170428501,0.236291592,-0.439695962,0.112981923,0.103443682,0.194437143,0.267387226,-0.229720103,-0.334325142,0.575946016,0.010048698,-0.228911059,0.114940715,-0.356368278,-0.35739373,0.434259406,0.218532382,-0.280808218,0.242722773,-0.424397647,-0.072471695,0.23238382,-0.903155814,-0.007000171,-0.163799493,0.026970666,0.153569425,-0.225507305,-0.405589185,"('SO_0581', 9.17721146268639)","('SO_2098', 7.325794343337435)","('SO_3626', 7.219031607757862)","('SO_4512', 7.011328227146237)","('SO_2097', 6.243960476383883)","('SO_4566', 5.962607476136511)","('SO_2959', 5.581939638088493)","('SO_4513', 5.3830743538471735)","('SO_1415', 5.292970905316931)","('SO_1648', 5.284740413700291)","('SO_0325', 4.979153753519831)","('SO_2834', 4.676709758897092)","('SO_0680', 4.65935207554312)","('SO_1489', 4.314894424203995)","('SO_3403', 4.289364037882794)","('SO_0944', 4.286252045700184)","('SO_0490', 4.152145872330611)","('SO_2664', 4.1493540619955365)","('SO_2886', 4.112402904346777)","('SO_0108', 4.08308456621943)"
GSM100399,"['GO_0009631', 'GO_0042309', 'GO_0080190', 'GO_0080192', 'GO_0046079', 'GO_0140739', 'GO_0140454', 'GO_0106379', 'GO_0050825', 'GO_0010346']",0.370903924,0.097194427,-0.275346124,0.037569337,0.194888983,0.029126049,0.079002725,0.247548979,0.876602829,-0.192882385,-0.164134522,-0.017184947,0.221827583,0.603444492,-0.190443377,-1.124219454,-0.111077887,-0.382872471,-0.364806981,-0.055987166,0.342796822,0.605090871,0.228800225,0.093888733,-0.806212929,-0.017682409,-0.35537231,0.403830447,0.25421772,-0.195456598,-0.176244279,0.529373764,-0.032544223,0.457351997,0.457417359,-0.187309426,-0.479901887,-0.510345782,-0.612800501,-0.377026059,0.220472216,0.24523176,-0.342287736,0.431029592,0.107710307,0.091902007,0.191981186,0.020287258,0.515034188,-0.225924882,-0.741343537,-0.670752976,0.470508024,-0.41305819,0.189215237,-0.129600395,-0.126730732,-0.207969014,-0.063836395,0.337081898,-0.266231808,-0.943425437,-0.076444216,-0.348513665,-0.260272394,0.182865557,0.43892854,-0.016571105,-0.239422391,-0.225764732,0.264092392,-0.103372077,0.373978517,-0.37921172,0.048622938,0.066253151,0.665782204,0.02011877,-0.535187018,0.0040785,0.449879624,0.088055695,-0.113545044,0.265785908,-0.173173122,-0.14910379,0.391985726,0.096015514,-0.117411287,0.159629045,-0.379299268,-0.151169743,0.103219784,-1.168600934,0.025997734,-0.076396622,0.059932829,0.459185428,-0.066414528,-0.411248981,"('SO_0581', 9.177211462429778)","('SO_2098', 7.325794343108162)","('SO_3626', 7.219031607530269)","('SO_4512', 7.011328226921941)","('SO_2097', 6.243960476172217)","('SO_4566', 5.9626074763433525)","('SO_2959', 5.581939638288624)","('SO_4513', 5.38307435365064)","('SO_1415', 5.292970905122049)","('SO_1648', 5.284740413505561)","('SO_0325', 4.979153753330815)","('SO_2834', 4.676709758713906)","('SO_0680', 4.659352071408859)","('SO_1489', 4.314894424028038)","('SO_3403', 4.289364037707358)","('SO_0944', 4.2862520455248125)","('SO_0490', 4.1521458721580045)","('SO_2664', 4.149354061822987)","('SO_2886', 4.112402904174998)","('SO_0108', 4.083084566048265)"
GSM100400,"['GO_0009631', 'GO_0042309', 'GO_0080190', 'GO_0080192', 'GO_0046079', 'GO_0140739', 'GO_0140454', 'GO_0106379', 'GO_0050825', 'GO_0010346']",0.782008636,-0.303387889,-0.595707322,0.219279973,0.014862171,-0.125129284,0.174512777,0.224557736,0.672788552,-0.525371437,-0.293316509,-0.280239478,0.055112791,0.80410529,0.078881821,-0.764069714,0.151845235,-0.339227741,-0.816825194,-0.325822148,-0.020773667,0.606694788,0.414357604,0.006732676,-0.152933096,0.064751366,-0.210604719,0.509554147,0.202396101,-0.32997117,0.386439512,0.780969064,0.143482672,0.285729687,0.578601572,-0.371965312,-0.229370259,-0.356739745,-0.716654918,-0.327965699,0.15917768,0.468956576,-0.410754589,0.647992357,-0.073073529,0.190062312,0.51075827,0.212513187,0.737750562,-0.206928952,-0.725650833,-0.727057746,0.57405607,-0.60663147,0.081802641,0.149226014,0.080653752,-0.118431031,-0.170774864,0.178828622,-0.301600755,-0.838973546,0.192887224,-0.428590554,0.017914427,0.07947774,0.17237187,0.109374474,-0.587785793,-0.213168775,0.4130522,0.094069662,0.063322111,-0.359734157,-0.101141989,-0.059285987,0.214856222,0.181813878,-0.557084506,-0.029098691,0.408133118,-0.038960694,-0.385371345,0.279031285,-0.170279109,-0.586383456,0.587350618,0.491301304,-0.441224715,0.195093493,-0.576129929,-0.152138371,0.529942135,-1.001571304,0.126630834,-0.121376919,0.179647399,0.257117966,-0.123298604,-0.222610761,"('SO_1648', 13.062860677167867)","('SO_0581', 12.381634902527878)","('SO_2072', 9.190628139474937)","('SO_3106', 9.146219923169891)","('SO_4513', 8.670000439384967)","('SO_4512', 8.500141972935628)","('SO_3059', 8.414216058036445)","('SO_0944', 8.399125052241766)","('SO_4053', 7.96437744527999)","('SO_0940', 6.099729723090257)","('SO_1983', 5.95739760906454)","('SO_2194', 5.858386318160302)","('SO_0325', 5.8423512240341084)","('SO_0439', 5.709535925255695)","('SO_3626', 5.582992911332756)","('SO_1695', 5.541403072548942)","('SO_3132', 5.32991640027338)","('SO_0384', 5.30595319691917)","('SO_1415', 5.237782797372288)","('SO_3342', 5.16631671089717)"
GSM100401,"['GO_0009631', 'GO_0042309', 'GO_0080190', 'GO_0080192', 'GO_0046079', 'GO_0140739', 'GO_0140454', 'GO_0106379', 'GO_0050825', 'GO_0010346']",0.714299787,-0.387695244,-0.631474533,0.08293401,-0.247492091,0.045606274,0.602715539,0.284279051,0.458012887,-0.503719423,-0.090363474,-0.014338387,-0.018712528,1.098878812,-0.190453994,-0.829375814,-0.085889088,-0.23946444,-0.929900963,-0.169937962,0.577587685,0.469982835,0.187926407,0.007939941,-0.201258901,0.114008129,-0.296531245,0.159746841,0.221155363,-0.198923789,0.478184176,0.687807047,0.063832893,0.271926933,0.551992284,-0.31684775,-0.208082817,-0.644656564,-0.508347799,-0.22116132,0.408653642,0.372200803,-0.38609035,0.926033297,0.169961783,0.183114459,0.598471242,0.088266374,0.63566029,-0.434634101,-0.622760605,-1.071742754,0.620479285,-0.582669364,0.063367517,0.231173073,-0.214980504,-0.068271057,-0.081399604,0.233391065,0.003371872,-0.820845876,-0.187477334,-0.092045225,0.043236277,-0.109781078,0.498444843,0.013409655,-0.928300474,0.030336152,0.403098111,0.172484273,0.177720434,-0.59929097,0.117765141,0.156441731,0.349757598,0.187034697,-0.448348285,-0.43174445,0.32061595,-0.076903335,-0.371999438,0.208810271,-0.222343541,-0.529115738,0.185035032,0.313531263,-0.275925274,0.134923551,-0.772321941,0.166086154,0.315694188,-1.276669304,0.284073858,-0.395755455,-0.119868027,0.239659573,-0.182402173,-0.430528889,"('SO_1648', 13.062860679378772)","('SO_0581', 12.381634904680357)","('SO_2072', 9.190628143683664)","('SO_3106', 9.146219918971342)","('SO_4513', 8.670000435297188)","('SO_4512', 8.500141974719087)","('SO_3059', 8.414216054009414)","('SO_0944', 8.399125054014599)","('SO_4053', 7.96437744700633)","('SO_0940', 6.099729724601053)","('SO_1983', 5.957397607571478)","('SO_2194', 5.858386316679694)","('SO_0325', 5.842351225512685)","('SO_0439', 5.709535921938443)","('SO_3626', 5.582992908052473)","('SO_1695', 5.541403071108947)","('SO_3132', 5.329916403478458)","('SO_0384', 5.305953200117032)","('SO_1415', 5.237782798772274)","('SO_3342', 5.166316714052673)"
GSM100403,"['GO_0009631', 'GO_0042309', 'GO_0080190', 'GO_0080192', 'GO_0046079', 'GO_0140739', 'GO_0140454', 'GO_0106379', 'GO_0050825', 'GO_0010346']",0.69579687,-0.296505228,-0.54401967,0.134720579,0.180415011,0.212462764,0.150901741,0.349582639,0.230438563,-0.611627928,-0.18352986,-0.310152715,0.216820899,0.937188977,0.046976054,-0.933151561,0.224423677,-0.257133737,-0.800304645,-0.296176848,0.516012486,0.646438348,0.392251995,0.076723073,-0.030514146,0.080371251,0.094938452,0.502070538,0.195901645,-0.393304115,0.300557122,0.836463287,0.206745562,0.133612015,0.153129654,-0.263473506,-0.154033282,-0.719931435,-0.569336138,-0.156956319,0.32829558,0.149221615,-0.32712203,0.693757536,0.094418136,0.087921783,0.348039614,0.281399391,0.862890018,-0.199249305,-0.769055819,-0.916034078,0.543162239,-0.584351155,0.165281502,0.454662104,-0.180254442,-0.040781889,-0.364386002,0.252247187,-0.145701015,-0.785353345,-0.302623159,-0.428002208,-0.194489661,0.119455124,0.147978416,-0.214428357,-0.792969609,0.073795454,0.676370329,-0.106632229,0.180604807,-0.301312007,0.298819892,0.28168206,-0.154319822,0.269734116,-0.604587756,-0.176582519,0.476746101,-0.32832637,-0.395364808,0.085126068,-0.00763013,-0.539137004,0.36232936,0.429920488,-0.402043224,0.249762206,-0.621753069,0.019651999,0.422326908,-1.145108387,-0.029797316,0.074789102,0.042145697,0.445942587,-0.027350107,-0.38087547,"('SO_1648', 13.062860680717046)","('SO_0581', 12.38163490598327)","('SO_2072', 9.190628142561133)","('SO_3106', 9.146219920091161)","('SO_4513', 8.67000043638746)","('SO_4512', 8.500141975798627)","('SO_3059', 8.414216055083484)","('SO_0944', 8.399125055087705)","('SO_4053', 7.964377448051295)","('SO_0940', 6.099729720576018)","('SO_1983', 5.957397606667713)","('SO_2194', 5.858386320624296)","('SO_0325', 5.842351226407678)","('SO_0439', 5.709535922823204)","('SO_3626', 5.582992908927372)","('SO_1695', 5.541403070237312)","('SO_3132', 5.329916402623613)","('SO_0384', 5.305953199264113)","('SO_1415', 5.237782799619698)","('SO_3342', 5.166316713211052)"
GSM100405,"['GO_0009631', 'GO_0042309', 'GO_0080190', 'GO_0080192', 'GO_0046079', 'GO_0140739', 'GO_0140454', 'GO_0106379', 'GO_0050825', 'GO_0010346']",0.86692942,-0.310500932,-0.468103837,0.42582068,-0.264424158,0.072759048,0.369150201,0.391835638,0.437480953,-0.534256781,-0.211749446,-0.035851905,0.076883538,1.067880837,-0.043447512,-0.752131156,-0.099192399,-0.148655033,-0.543850848,0.062714652,0.234593853,0.606447801,0.466252774,-0.108673729,0.024587543,0.21132699,-0.046391045,0.406867113,0.079570323,-0.288331701,0.269357017,0.589295222,0.121632861,0.211334432,0.615240524,-0.181505184,-0.086839932,-0.539413515,-0.658388765,-0.358104764,0.426276552,0.664225365,-0.319841925,0.381827479,0.063491846,0.208673736,0.59517551,0.077136357,0.579940119,-0.254051688,-0.599459173,-0.879120164,0.667622872,-0.447235291,0.071445997,0.2316104,-0.081855037,-0.251663933,0.052299136,0.021615817,-0.372270515,-0.774381862,0.265103609,-0.640543108,0.228260972,-0.005342014,0.395020941,0.121978918,-0.721995943,-0.299930696,0.370282679,0.256948681,0.212828835,-0.574425779,-0.142231261,0.061811556,0.257681,0.537751157,-0.470597601,-0.453880196,0.472984596,-0.075888433,-0.384018515,0.385643998,-0.398045228,-0.442051309,0.469918493,0.41835202,-0.500853463,0.440909726,-0.456056987,-0.173274515,0.487867666,-0.893565584,0.129356172,-0.505049183,-0.095657636,0.175445876,-0.123015193,-0.433803521,"('SO_1648', 13.066387590399067)","('SO_0581', 12.385068626815132)","('SO_2072', 9.18767024227543)","('SO_3106', 9.14917114106445)","('SO_4513', 8.67287381138043)","('SO_4512', 8.502987061188133)","('SO_3059', 8.41704673080838)","('SO_0944', 8.401953185663865)","('SO_4053', 7.967131418873973)","('SO_0940', 6.102139875497082)","('SO_1983', 5.955016215353195)","('SO_2194', 5.856024798599864)","('SO_0325', 5.844709985236314)","('SO_0439', 5.711867723959657)","('SO_3626', 5.585298722823845)","('SO_1695', 5.539106336009748)","('SO_3132', 5.327663921933525)","('SO_0384', 5.3037057929752125)","('SO_3342', 5.164099079677707)","('SO_4155', 5.1192292776152994)"
GSM100407,"['GO_0009631', 'GO_0042309', 'GO_0080190', 'GO_0080192', 'GO_0046079', 'GO_0140739', 'GO_0140454', 'GO_0106379', 'GO_0050825', 'GO_0010346']",0.558951312,-0.063355456,-0.442961001,0.01882887,-0.219238406,-0.085424529,0.533484161,0.149861506,0.764399816,-0.43567299,-0.19517262,0.061769144,0.01727272,0.99884389,-0.055126536,-1.001965402,0.071490017,-0.114124768,-0.540121052,-0.024647681,0.043068753,0.70410993,0.307272378,0.05691214,-0.271765294,-0.010906575,-0.273012031,0.202803921,0.016868558,-0.156991105,0.575244828,0.938775926,-0.063715976,0.389682983,0.579123261,-0.322831465,-0.34308483,-0.412065262,-0.573430173,-0.145156491,0.122519196,0.44512996,-0.438958421,0.642474082,0.141938993,0.165630864,0.292295386,0.1705863,0.605717857,-0.31864489,-0.878281469,-1.124319636,0.699883798,-0.515588359,-4.23e-05,0.097968863,0.199313289,-0.185915087,-0.109929059,0.17632475,-0.348070875,-0.845194918,0.294985492,-0.348013939,-0.059158535,0.094844295,0.320532741,0.202765584,-0.602785773,-0.105262122,0.37289832,0.09295435,0.366226748,-0.258945602,-0.063249335,-0.03812932,0.060916396,0.26354596,-0.572907132,-0.139221561,0.551539732,-0.232882291,-0.331533076,0.305229359,-0.143204111,-0.37640418,0.519874694,0.365522562,-0.293592118,0.266506294,-0.696020781,0.029804823,0.224786349,-1.014306709,0.059354735,-0.382385624,-0.020495981,0.359923289,0.009988325,-0.401886222,"('SO_1648', 13.06591024630469)","('SO_0581', 12.384603894484478)","('SO_2072', 9.188070523465194)","('SO_3106', 9.148771708114593)","('SO_4513', 8.67248491455565)","('SO_4512', 8.502601992155236)","('SO_3059', 8.416663612700424)","('SO_0944', 8.401570411219854)","('SO_4053', 7.9667586808805355)","('SO_0940', 6.101813668684189)","('SO_1983', 5.955338474387775)","('SO_2194', 5.856344367958127)","('SO_0325', 5.844390733473051)","('SO_0439', 5.711552121177086)","('SO_3626', 5.584986636391774)","('SO_1695', 5.5394171379314185)","('SO_3132', 5.327968734153743)","('SO_0384', 5.304009919073473)","('SO_3342', 5.164399176463902)","('SO_4155', 5.11893049611369)"
