,GENE,GSM4233495,GSM4233496,GSM4233497,GSM4233498,GSM4233499,GSM4233500,GSM4233501,GSM4233502,GSM4233503,GSM4233504,GSM4233505,GSM4233506,GSM4233507,GSM4233508,GSM4233509,GSM4233510
0,SO_0001,7.833088294,8.048317053,7.819580936,8.056638191,6.203961422,6.315717249,6.299782011,6.292898372,6.140581921,6.245916374,6.23278792,6.226780717,6.236978129,6.72647879,6.740460506,6.289218988
1,SO_0001,13.60509968,14.09666627,14.08577587,13.92464726,13.71786048,13.78025461,13.50827065,13.72709949,13.27121047,13.32322462,13.08918465,13.27866094,13.28786842,13.17444108,12.93954829,13.02765017
2,SO_0001,5.386943274,5.824165446,5.962175064,5.37612844,5.279613843,5.377213579,5.163653211,4.995771122,5.202873288,5.303337961,5.07496043,4.883578231,5.23315482,4.830692846,5.449780194,5.16441939
3,SO_0002,10.94258329,11.36115566,10.97513152,11.17416503,10.04366827,10.30074589,10.04247176,10.66514165,9.686534018,9.931135101,9.684891706,10.28260386,9.594418625,9.914787429,9.790481484,9.993142378
4,SO_0002,5.304924875,5.520621441,5.349837199,5.304924875,5.664449783,5.773965684,5.759058279,6.371233659,5.607896291,5.72332998,5.704432911,6.298413239,5.168185853,5.814271718,5.302195786,5.99761146
5,SO_0002,6.421014335,5.393393472,5.198448492,6.335950134,4.216752673,3.816992614,4.036181336,3.848631736,4.035107628,3.631596099,3.853661167,3.667514342,5.23315482,4.925720754,4.608462046,4.798653429
6,SO_0003,7.261801933,8.157978894,8.129122446,7.996297433,8.527355165,8.612062492,7.954742092,8.412834812,8.276358841,8.356123463,7.748740491,8.172835649,8.096815961,8.304866372,8.351299826,7.977031602
7,SO_0003,12.67842823,12.69807386,12.56683449,12.78160947,12.03258391,11.99877775,11.97404485,12.16200774,11.65432292,11.62208918,11.60111225,11.78244302,11.76142932,11.73254655,11.79505812,11.7942967
8,SO_0003,10.62173719,8.908392884,9.346860155,9.820079355,9.16341404,9.373341175,9.778231312,9.351146486,8.859982368,9.057112788,9.437661844,9.03519535,9.722359934,9.024153786,10.6309386,10.31276287
9,SO_0004,6.844314564,6.17679823,5.847842556,6.936270892,5.183638868,5.053929696,5.873446274,5.29577216,5.098837604,4.949260778,5.822261799,5.223533708,5.267503163,6.23278792,6.337963089,5.747028256
10,SO_0004,10.05710342,10.09089819,9.774117991,9.912281357,8.614019938,8.333155743,8.466714137,8.219320227,8.357911,8.098790765,8.220773128,7.99834575,7.877784909,8.120984975,7.972730723,8.110256891
11,SO_0004,8.948002388,8.662779934,8.748507651,8.578844723,9.857057776,9.352250571,9.882308834,9.445079709,9.51302508,9.03639791,9.537134183,9.123200922,9.373858347,9.202629851,9.108329415,8.930054641
12,SO_0005,11.27732378,10.74913624,10.74080855,10.72709623,10.19263968,10.38939616,10.8038537,10.07443431,9.82935667,10.01378553,10.42352999,9.716745102,9.631893911,9.755023798,9.190643571,9.776104611
13,SO_0005,6.155452509,5.494858395,5.389096546,6.217353608,4.259749879,4.491858728,4.076823106,4.134433535,4.07845016,4.323307283,3.893642467,3.953068076,2.289956489,3.72319329,4.350081966,4.641351151
14,SO_0005,7.954378601,8.208082338,8.095397486,8.135870027,7.73195597,8.028079208,8.063395555,8.125898185,7.544629338,7.817905429,7.849720215,7.910007827,7.870097295,7.872023042,7.732509212,8.287223528
15,SO_0006,6.082150912,5.947638991,5.878819438,5.81137695,5.903130794,5.682119233,6.280192423,5.909145156,5.849101764,5.628091992,6.213476159,5.855345139,5.704432911,6.285755981,6.069189345,5.926008403
16,SO_0006,13.68732443,14.03079914,14.08262466,14.02862646,13.91326052,14.00694786,14.03079914,14.07290457,13.44439461,13.54149223,13.56866354,13.60890672,13.23507282,13.24458038,13.23507282,13.31324006
17,SO_0006,9.656816032,9.356383384,9.508970983,9.318896013,9.453463744,9.311322794,9.071378796,9.256430061,9.130458923,8.997057026,8.777318213,8.946231189,9.480828825,9.835093706,9.61612448,9.419737182
18,SO_0007,6.062722663,6.811777183,6.605480819,6.508786554,7.085805313,6.910269009,7.289155164,7.21674671,6.951507702,6.793852048,7.135905517,7.069319562,7.037070593,6.868287083,6.941638989,6.88669193
19,SO_0007,3.751553467,2.679612224,2.000420468,2.592712057,3.994361388,3.75823258,3.499857089,3.479791624,3.799646649,3.564594119,3.333779082,3.32480817,3.279216555,3.342694556,3.602198459,3.796405457
20,SO_0008,11.95341215,11.8914159,12.48094008,12.1464991,16.51407496,16.43608066,16.46336921,16.68544733,16.03682867,15.95238764,15.98641886,16.22528195,11.31827115,11.6900609,11.0816626,11.08830403
21,SO_0008,9.615169975,10.23283322,9.841613623,10.05129404,9.3214351,9.295266917,9.215912341,9.624053063,9.006905645,8.982424307,8.908262393,9.29092688,9.502186133,9.12044948,9.281974358,9.533792797
22,SO_0008,,,,,,,,,,,,,,,,
23,SO_0009,10.85849109,10.72101914,10.73439217,10.74937197,10.63342107,10.49188449,10.82885554,10.78736703,10.24995088,10.10944758,10.44965203,10.40755365,9.893899312,10.30615471,9.922612838,10.35681687
24,SO_0009,8.965153221,8.860214317,9.00658931,8.875269667,8.846959715,8.587660663,8.439701411,8.512864238,8.569216234,8.333799962,8.197003486,8.262478395,8.101091293,8.375394102,7.890000516,8.227106295
25,SO_0009,6.042345302,5.561290629,5.373955711,6.084145878,4.837632365,4.670661225,5.016812202,4.746519042,4.718724852,4.524761318,4.910810773,4.615835805,4.963780601,5.686160926,4.883578231,5.426906398
26,SO_0010,7.326149351,7.10427205,6.979068876,6.887983203,6.474214362,6.841958504,6.684311543,6.811777183,6.3958619,6.732426984,6.587126852,6.705896764,6.922068522,6.976783238,7.02292679,6.775450661
27,SO_0010,11.78239683,11.56231701,11.43770336,11.5556227,10.84671471,10.59912838,11.12155381,10.85043111,10.46870715,10.21502527,10.75422497,10.47296405,10.40755365,10.23397956,9.762621436,10.35261634
28,SO_0010,8.500717768,8.291027173,8.531016209,8.713709003,9.426985582,9.680414624,8.88006204,9.338249099,9.106776558,9.34627909,8.599751566,9.022940972,9.743288803,9.826082283,10.40854908,9.972558585
29,SO_0011,6.370144011,6.070122831,6.338180816,6.298637016,6.68167889,6.878435227,6.725367455,6.949463005,6.586188701,6.764296105,6.625531744,6.830757663,7.124319125,7.527626574,7.981676464,7.450080244
30,SO_0011,12.2103194,12.88180107,12.69331681,12.86241339,9.16341404,10.28749606,10.05142151,10.56739175,8.859982368,9.918658859,9.694064667,10.18474412,9.55168496,9.830198871,9.570484996,9.518198992
31,SO_0011,8.255471642,9.008691471,8.738514829,8.752903561,8.656536906,8.695119825,8.243918174,8.677279501,8.394812623,8.429748297,8.018654361,8.413576645,9.006555064,9.653215239,9.075613862,8.921990787
32,SO_0012,,,,,,,,,,,,,,,,
33,SO_0012,11.83692567,12.30571446,11.94433463,12.30427112,11.83156707,11.66429453,11.90000593,11.88623246,11.45982561,11.29631781,11.52818871,11.51530887,11.51339779,11.38101246,11.2523626,11.42597987
34,SO_0012,9.492041111,9.0374614,8.826250822,9.08555568,7.496105481,7.88398021,7.428099148,7.612638811,7.323508591,7.685320877,7.261099453,7.432701641,6.755977509,7.701005786,6.855106781,7.283265529
35,SO_0013,8.787800842,8.941414729,8.879487795,9.309547607,8.094573042,7.890264811,8.501215549,8.060189753,7.879317528,7.691440843,8.251572963,7.847568722,8.14634785,7.788435335,7.611857546,8.172835649
36,SO_0013,14.89832239,14.69004062,14.5218247,14.67290353,13.36427576,13.64066508,13.57368048,13.27673783,12.9578197,13.20244246,13.14399403,12.87995778,12.58258755,11.79467746,12.1055056,13.16505719
