,GENE,GSM358310,GSM358311,GSM358312
0,SO0001,0.040373767,-0.176869106,-0.183774573
1,SO0001,0.288660797,0.787883548,1.802673267
2,SO0001F,0.125174838,-0.149195986,0.267123717
3,SO0001F,-0.443550558,-0.245720955,0.030462285
4,SO0002,-0.342532608,-0.496912217,-0.307221327
5,SO0002,-0.245450813,0.366529163,-0.002585854
6,SO0003,-0.298112882,0.130953371,0.556541307
7,SO0003,-0.452445245,-0.242901414,-0.224712557
8,SO0004,0.028765106,-0.277560958,-0.323816772
9,SO0004,-0.255851001,0.510112722,0.246173941
10,SO0005,-1.153179257,0.307237296,0.005494715
11,SO0005,-0.221649422,0.211705738,0.15753787
12,SO0006,-0.983214198,0.039692696,0.238067639
13,SO0006,0.107943114,0.360056909,0.1053976
14,SO0007,-1.395993768,-0.031802828,-0.241562385
15,SO0007,0.194569389,0.272472046,0.556341766
16,SO0008,-0.755492135,0.117023012,-0.089112026
17,SO0008,-0.255384095,0.129463649,0.021199428
18,SO0009,-1.420786456,-0.36577277,-0.870646332
19,SO0009,-0.201045239,-0.238259429,-0.361347374
20,SO0009F,0.110978898,0.075603474,0.335159227
21,SO0009F,-0.030024609,0.664246658,0.195796821
22,SO0010,-2.285967075,-0.150666803,-0.990275185
23,SO0010,-0.53406287,0.104336014,-0.165406711
24,SO0010F,-0.573569471,0.011622115,-0.045705801
25,SO0010F,-0.108457871,0.110845402,-0.05093934
26,SO0011,-0.18418556,0.071319594,-0.294916237
27,SO0011,-0.214457686,-0.484049998,0.015542346
28,SO0012,-0.147575957,0.096542501,0.07412495
29,SO0012,0.007152628,0.125447917,-0.052554915
30,SO0013,-0.244427711,-0.148157766,0.636511065
31,SO0013,-0.655410629,-0.18669872,0.03301599
32,SO0014,-0.005108548,0.087506385,0.423601989
33,SO0014,0.310304599,-0.226008639,0.327209895
34,SO0015,-0.48744797,0.15831567,-0.031609919
35,SO0015,-0.086866427,-0.314662515,0.180920238
36,SO0016,-1.445623928,-0.190170849,-0.55674718
37,SO0016,-1.504423101,0.34530984,0.014365368
38,SO0017,-0.492515013,0.278471225,-0.132405305
39,SO0017,-0.06699174,0.004215783,-0.046587619
40,SO0017F,0.109745244,0.270243584,-0.11638276
41,SO0017F,-1.917911044,-1.056365389,-1.172547901
42,SO0018,-1.407854734,-0.365533502,-0.559060479
43,SO0018,-1.051198545,0.813680271,-0.016796061
44,SO0019,-1.20668658,-0.153740487,0.001024855
45,SO0019,-0.808028841,-0.489928099,-0.430039183
46,SO0020,-0.982958731,-0.041460337,0.290282071
47,SO0020,-0.789657829,0.650772973,0.199166227
48,SO0021,0.285113894,-0.283384266,1.133577513
49,SO0021,-0.457067147,-0.040817668,-0.591777938
50,SO0022,-0.519121195,0.690392912,-0.087385513
51,SO0022,0.437200755,0.996590478,0.576392923
52,SO0023,0.009873336,0.447276407,-0.003906247
53,SO0023,-0.295138581,-0.097781211,-0.070242962
54,SO0024,0.405578029,0.400297184,0.760738206
55,SO0024,-1.663971675,-0.863583481,-0.234169185
