,GENE,GSM1040726,GSM1040727,GSM1040728,GSM1040729,GSM1040730,GSM1040731
0,SO0001,0.606916401,-0.951981211,0.271489604,0.363036579,-0.181986483,0.826110728
1,SO0001,-1.557460814,-1.644750245,-1.249978569,-0.895507873,0.742433643,-0.008103577
2,SO0001F,1.725726464,1.641702773,1.461573069,1.419512064,2.426686365,2.989810035
3,SO0001F,0.270362522,-0.235101377,0.009997038,0.16698486,2.037820219,1.782260397
4,SO0002,-0.399288867,-0.905127054,-0.657395813,-1.019789414,-0.498902557,-0.504821551
5,SO0002,-1.732788323,-2.390367145,-2.022033601,-2.507520136,-3.582924732,-2.248556295
6,SO0003,-0.096064773,0.483449659,-0.66300102,-0.639118271,0.7994857,0.687569606
7,SO0003,1.13547097,1.155382198,0.65818831,0.859401512,-1.567684476,-1.753709227
8,SO0004,-0.579740481,-1.062906079,-0.888845294,-1.333324436,-1.105005136,-0.39385443
9,SO0004,-1.034717665,-0.981380645,-0.741739806,-0.908544579,0.039337989,-0.613795891
10,SO0005,2.581697097,1.280887628,0.517824268,0.412583474,2.350164023,1.611671564
11,SO0005,1.575873327,2.526168025,0.708672541,1.276872024,-2.88226437,-3.11243609
12,SO0006,-2.001327773,-2.356546627,-2.061512086,-1.929618307,-1.01605782,-0.798887613
13,SO0006,-1.169610656,-2.837419406,-1.886312153,-0.903994471,-3.579201532,-1.688713508
14,SO0007,-0.165169995,-0.799403197,-0.158755098,-0.038279895,0.400559289,0.2423444
15,SO0007,-0.257845967,-0.194174355,0.254051093,-0.078318228,0.903169031,0.697457805
16,SO0008,-1.394232713,-0.554230281,-1.49768497,-1.348300558,-0.029446334,0.139709699
17,SO0008,-1.02538888,-0.513129666,-1.578778599,-1.463868492,1.342254161,1.171990958
18,SO0009,-3.312011986,-3.840461174,-4.053249815,-4.385490057,-2.982487295,-4.041355749
19,SO0009,-2.025599222,-1.701312316,-1.945380251,-2.978986422,-0.69925438,-1.099469279
20,SO0009F,0.629697966,1.72550066,0.639568628,0.372421726,0.261016178,1.649375372
21,SO0009F,2.626442532,2.17585153,1.544707465,0.590800295,3.173696945,1.719793678
22,SO0010,-1.661002283,-1.371854653,-1.837628649,-1.608820388,-1.454431922,-0.316969293
23,SO0010,-1.97183716,-2.521869546,-2.177042461,-2.944329569,-1.846470458,-1.655864502
24,SO0010F,-0.444067705,-0.910853957,-0.634415534,-0.530077448,-1.06396606,-0.707452285
25,SO0010F,-0.384777848,-0.684682426,-1.352570509,-1.790975454,0.416507485,0.52801073
26,SO0011,-3.422854237,-3.58344355,-3.336999327,-3.332056597,-0.351959114,-2.925859107
27,SO0011,-1.492130403,-2.226810709,-1.570990258,-2.126754028,-1.248873683,-1.27134934
28,SO0012,-0.157361004,-1.990167564,-0.372658115,-0.31473286,-0.118997112,0.004873145
29,SO0012,0.729767869,0.706805808,0.500588153,0.33470415,-2.323646358,-1.828019677
30,SO0013,-0.389027257,-0.890367844,-0.414525591,-1.051040131,-2.392294943,0.0774827
31,SO0013,-1.611264385,-1.471426321,-1.74073485,-1.138369607,-0.403994375,-0.588556775
32,SO0014,-3.537238827,-3.174698401,-2.993390384,-3.274770135,-2.638960632,-2.580198858
33,SO0014,-2.560523221,-3.440814816,-2.984163298,-2.826183311,-3.358696017,-2.919097443
34,SO0015,-1.815221264,-2.464295515,-2.916968067,-1.929487618,-1.923288215,-2.017813267
35,SO0015,-1.623714897,-0.771819588,-1.550922145,-1.956948302,1.354470966,0.210355694
36,SO0016,3.762032715,3.972186413,3.841736927,1.962836991,4.619425623,4.319156635
37,SO0016,2.082837801,1.385374812,2.191815076,1.623257501,2.348871578,1.810364374
38,SO0017,0.430316215,0.703505569,0.21256902,-0.772799005,0.566728855,-0.150106832
39,SO0017,3.445469463,2.33947442,2.711119584,2.413555647,1.649504375,1.975763353
40,SO0017F,-0.323976358,-1.092333252,-0.997750328,-1.946476869,-1.501912399,-1.575433254
41,SO0017F,1.17938564,1.172122329,1.381410585,-0.883349336,0.132064474,0.861540737
42,SO0018,3.555178329,3.229260601,3.489936319,2.913373609,3.609216445,3.4279854
43,SO0018,1.429527115,0.458529546,1.3638217,-0.213445512,1.480864623,1.031066423
44,SO0019,0.79568995,0.863742774,0.448133721,-0.286997566,1.360796642,0.804672183
45,SO0019,-0.321695967,-0.993837873,-1.22991173,-2.271733474,0.33338789,-1.479708697
46,SO0020,-2.268696338,-2.278486226,-2.60436736,-2.5077416,-0.71522619,-0.939193562
47,SO0020,-1.811187048,-1.658928643,-1.802686916,-1.646136741,0.000511371,-0.312679972
48,SO0021,-1.15505494,-1.433482262,-1.359968662,-1.366046096,-0.206190724,-0.522090878
49,SO0021,-1.788418094,-1.484450191,-1.688026455,-1.52262842,-2.784085695,-0.806969768
50,SO0022,0.09244777,-0.358579026,-0.164411019,-1.374177132,0.593138516,0.05610117
51,SO0022,-0.59571704,-0.954147492,-1.10017863,-1.621100852,-0.158253054,-0.880131677
52,SO0023,1.004007887,-0.182816982,1.350462995,1.032438046,1.743946891,1.173584504
