CONCEPTS,CONCEPT,vector1,vector2,vector3,vector4,vector5,vector6,vector7,vector8,vector9,vector10,vector11,vector12,vector13,vector14,vector15,vector16,vector17,vector18,vector19,vector20,vector21,vector22,vector23,vector24,vector25,vector26,vector27,vector28,vector29,vector30,vector31,vector32,vector33,vector34,vector35,vector36,vector37,vector38,vector39,vector40,vector41,vector42,vector43,vector44,vector45,vector46,vector47,vector48,vector49,vector50,vector51,vector52,vector53,vector54,vector55,vector56,vector57,vector58,vector59,vector60,vector61,vector62,vector63,vector64,vector65,vector66,vector67,vector68,vector69,vector70,vector71,vector72,vector73,vector74,vector75,vector76,vector77,vector78,vector79,vector80,vector81,vector82,vector83,vector84,vector85,vector86,vector87,vector88,vector89,vector90,vector91,vector92,vector93,vector94,vector95,vector96,vector97,vector98,vector99,vector100
"['GO:0009761', 'GO:0040007', 'GO:0090333', 'GO:1990904']",GO:0009761,0.6222432,-0.0068713427,-0.29218483,-0.17752257,-0.13993844,0.01568904,0.5584171,0.27837422,0.59812933,-0.13617936,-0.12752646,0.09782495,0.27967197,0.6962897,-0.5004979,-0.6922443,0.12651627,-0.07437973,-0.61847186,0.0602426,0.48884597,0.41082412,-0.08410102,-0.007920885,-0.39940304,0.07711733,0.28221086,0.008124449,-0.04573267,0.12544587,0.38292614,0.16665037,-0.12820138,0.5051937,0.4458771,0.054603968,-0.06751648,-0.21967225,-0.2354698,-0.48267514,0.087851204,0.36290696,-0.17896359,0.44197285,0.33201033,0.111277066,0.14474198,-0.11593367,0.40829825,-0.25458205,-0.8147112,-0.9932496,0.2107518,-0.25441676,0.042912234,0.15216617,-0.22020411,-0.16892451,0.015873818,0.26159784,-0.12256943,-0.85897964,0.08613923,-0.082316995,-0.041270494,-0.046567835,0.325125,-0.008675559,-0.75943655,-0.06912775,0.06137573,0.19714746,0.42965546,-0.35724834,0.23870851,0.25494102,-0.13258184,0.30183658,-0.58183175,-0.24485825,0.5512818,-0.29720965,-0.02948041,0.34512222,-0.49312353,-0.31156826,0.0695485,0.039439082,0.051242948,-0.04632444,-0.55485296,0.006448972,-0.052707084,-0.9911689,-0.16318297,-0.19327445,0.14596002,0.114199616,-0.119767144,-0.19781834
"['GO:0009761', 'GO:0040007', 'GO:0090333', 'GO:1990904']",GO:0040007,0.76046944,-0.17530653,-0.5550183,0.30258343,0.035949677,0.36495477,0.6038447,0.24083233,0.061113626,-0.8147103,-0.43667263,0.25094768,-0.47602335,1.7406213,0.34248054,-0.26778194,0.10439732,-0.23414138,-0.42558363,-0.1499232,0.0130718835,0.42042658,0.25031102,-0.36885917,0.26134014,0.13539939,-0.32663676,0.41739044,0.0013948416,-0.6241413,0.80129004,1.1353185,-0.5253865,0.4766887,0.5714112,-0.40039793,-0.14485149,-0.7461666,-0.904552,-0.13596843,0.24087606,0.19487645,-0.11974011,0.9494083,0.17550753,-0.020308312,0.8172379,0.32023603,0.5064774,-0.1367777,-0.8570055,-0.67097723,0.87365913,-0.85078907,-0.32332352,0.64166075,-0.26610637,0.06810131,-0.45355782,0.09449631,-0.7335134,-0.99843216,0.16442764,-0.6758198,-0.2787325,-0.48660165,-0.06873561,-0.29100192,-0.18367258,-0.5716842,0.9289126,0.078168206,0.38085166,-0.38363773,-0.13164149,0.5092418,-0.28039142,0.81994104,-0.7211567,-0.4981556,0.62051797,-0.3777573,-0.72803384,0.79582,0.004945631,-0.8155128,0.11510109,0.64759725,-0.18059398,0.5856528,-0.7778906,-0.066061035,0.7474313,-1.1514126,-0.13990583,-0.33557642,-0.027485775,0.80352443,-0.2307721,-0.7216533
"['GO:0009761', 'GO:0040007', 'GO:0090333', 'GO:1990904']",GO:0090333,0.5115013,-0.22878084,-0.54972404,-0.11281634,0.02965045,0.106509015,0.5039395,0.17829178,0.3535353,-0.28648326,0.019347996,0.10751137,-0.11631345,0.5979917,-0.058168355,-0.8501861,-0.0008195518,-0.17188637,-0.49298126,-0.14473103,0.38630533,0.7251415,0.5512548,-0.04026982,0.09137095,0.2245439,-0.010494321,0.09617438,0.05410434,-0.15248406,0.48580444,0.48584777,-0.23079084,0.18609485,0.41759437,-0.26628473,-0.23942126,-0.0892249,-0.22006725,0.09010328,0.34524974,0.3855271,-0.07876026,0.2724232,0.25270754,0.022606308,0.34807503,0.19145772,0.36726713,-0.43784267,-0.8019701,-0.74872303,0.3248946,-0.21128862,-0.092021324,-0.020700552,0.35424748,-0.05366552,0.07668726,0.2057963,-0.1887204,-0.26564282,0.085416615,-0.24298958,0.069796756,0.28831488,0.36397654,-0.07312726,-0.5843332,0.093382776,0.34689254,0.43535364,0.30168086,0.13517071,-0.13047612,0.19256026,-0.15506966,0.17132978,-0.60191256,0.020769015,0.21326832,-0.12329095,0.017977953,0.24268642,0.007568306,-0.16495661,0.5158658,0.03500459,-0.23480114,0.15079921,-0.6239815,-0.091542564,-0.024525598,-0.24255538,-0.35081795,-0.15457915,0.031248534,0.15868454,0.060100365,-0.34907797
"['GO:0009761', 'GO:0040007', 'GO:0090333', 'GO:1990904']",GO:1990904,-0.2929241,0.39455786,-0.4143164,0.38343886,0.6321643,-0.20664205,0.46874475,0.37052807,0.74946135,-0.19957715,0.09637866,-0.06895022,0.70694983,0.9151399,-0.14454192,-2.1685867,-0.42944857,0.05095922,-0.50548285,0.73816824,0.36496013,-0.2490713,0.14297229,0.12978092,-1.7522324,0.3009506,-0.37953335,0.21682708,0.31757954,-0.45523387,-1.2334075,0.24946076,-0.06955259,1.482393,0.012286841,-0.10256383,-0.6963066,-1.0108578,-1.2205576,-0.72071934,0.4018179,0.058383107,-0.3263219,0.013526109,-0.29086047,0.34495997,0.36472943,-0.18090975,0.49556336,0.13664033,-0.76368874,-0.9260273,0.28567392,-0.49635562,0.9085862,-0.3112457,0.014507834,-0.18725953,-0.24162748,0.7479299,-0.0811963,-1.6489997,-0.6494901,0.1998581,0.1744038,0.30913872,0.4568437,-0.41719478,-0.43235585,-0.09594047,-0.7036049,-0.31681713,0.042392492,0.30008593,0.40868253,-0.036260713,1.3098342,0.32263428,-0.6322875,0.10341966,0.7582143,0.7998936,-0.16305436,-0.57202864,-0.3652622,-0.56801903,0.16292213,-0.33847144,0.36699626,-0.123332515,-0.9027772,0.48293474,-0.32509592,-2.3048801,0.6296373,-0.29607356,0.32310623,1.4754053,-0.24158986,-1.5242732
"['GO:0004386', 'GO:0009276', 'GO:0044848', 'GO:0090113']",GO:0004386,0.74652576,-0.22758281,-0.5407315,-0.39064845,-0.6020652,0.09368727,0.43534598,0.78526473,0.85468036,-0.27424037,-0.11076909,0.26849875,0.02584781,0.8750071,-1.2044926,-0.9964304,-0.506215,-0.15999383,-0.9385793,0.04136074,0.21494795,0.7346017,0.51321334,-0.13943778,-0.13988481,-0.264995,0.09621872,0.15194505,0.46867898,-0.34321147,0.065407276,0.51986974,0.14431573,0.6150368,0.77420163,0.24160981,0.09818871,0.0023472477,-0.2148703,-0.043180335,0.25098997,0.76315314,-0.2614494,0.23377165,0.29016927,0.20324427,0.47987804,0.22193159,0.60705346,-0.5170474,-1.1747158,-0.7805732,0.083821066,-0.008457254,0.40967852,0.27112535,-0.0954617,-0.6123758,-0.7816948,-0.21327008,0.01174361,-0.66683966,0.27706718,-0.14401671,0.11818851,-0.59672993,1.058186,-0.32437423,-0.16595463,-0.17875445,-0.18591486,0.49778357,0.12484968,-0.83537066,-0.18501164,-0.110353,0.104810484,0.6010132,-0.64467424,0.1738531,0.6149748,-0.27647793,0.4321913,-0.59479564,-0.2912765,-0.6798956,0.46155453,-0.24250235,-0.43750274,0.18926752,-0.65049654,0.26996088,0.42665747,-0.97108865,0.12661485,-0.5341663,0.0921213,0.49067354,-0.12078998,-0.39447242
"['GO:0004386', 'GO:0009276', 'GO:0044848', 'GO:0090113']",GO:0009276,0.51208854,0.28764927,-0.27874452,-0.026038678,0.04488579,-0.2686577,0.41046765,-0.07715542,0.68824446,0.08595667,-0.18156043,-0.22745596,0.25589386,0.4348024,-0.20036535,-0.986967,0.25664523,-0.28746337,-0.29433653,-0.09645807,0.032591976,0.35316712,0.008732645,0.28143728,-1.071453,0.10450641,-0.099438354,0.47542757,0.08887622,-0.043335494,-0.17024018,0.14026918,-0.0047865566,0.20235297,0.13749006,-0.1836605,-0.28313133,-0.17102236,-0.26030844,-0.43191764,0.08149052,0.17270443,-0.5456172,0.66477764,-0.09586958,0.26425502,0.238356,-0.13041452,0.5083378,0.11178487,-0.734845,-0.6513627,0.371308,-0.32516763,-0.14408852,0.13045995,-0.12048279,-0.30278757,0.064075276,0.32198817,-0.37164965,-0.8527114,0.20267248,-0.5975351,-0.45717072,0.41279072,-0.020056522,0.15498713,-0.3627406,-0.03395195,0.25192475,-0.004933562,0.43874493,-0.18639006,0.022592274,0.22385536,0.49498075,0.2808774,-0.5509638,-0.0905872,0.4896492,0.091101505,-0.22452696,0.2746268,-0.13767686,0.054914314,0.5361801,-0.11598562,-0.3605305,0.11385694,-0.3579487,0.014105916,-0.1257538,-1.1356144,0.14978296,0.27083468,0.31789377,0.3352327,0.062948145,-0.17235565
"['GO:0004386', 'GO:0009276', 'GO:0044848', 'GO:0090113']",GO:0044848,0.67469037,-0.05336124,-0.072004616,0.19430612,0.26712033,0.43197307,0.12910442,0.38492563,-0.09683072,-0.52185494,-0.23462851,-0.21242312,-0.110199094,1.4218016,-0.21386698,-0.5130367,-0.047456533,0.31817168,-0.6662947,-0.09437139,0.1773471,0.66818994,0.63592035,-0.14202571,-0.27507424,0.09389317,-0.24752527,0.41004112,0.105422385,-0.09045022,-0.32840592,0.5851052,0.37625474,0.34174436,-0.124124356,-0.25881696,0.31827566,-0.8023899,-0.49764434,-0.5139186,0.77819407,0.5804857,-0.4230106,0.47064188,0.55646014,0.018307991,0.39606094,0.57438296,0.5420384,-0.3159626,-1.0663564,-0.7359446,0.4774479,-0.12184956,0.22055459,0.69401413,-0.19179742,0.04137117,-0.75297594,-0.17266072,-0.26619878,-1.1541613,-0.43495795,-0.5793984,0.0011619037,0.13669255,-0.1549449,0.017910657,-0.4321721,-0.19837664,0.4577109,0.5023665,0.09999486,-0.82960707,0.4069213,0.25923795,0.03258953,0.800681,-0.6581467,-0.46049216,0.48886377,-0.04918057,-0.49012184,0.10269404,-0.5778529,-0.8102224,0.7446414,0.13050298,-0.7220047,0.18019406,-1.1258072,0.21825512,0.09062516,-1.1204574,-0.15013656,0.29334518,0.24806611,0.5623429,0.001480367,-0.6775126
"['GO:0004386', 'GO:0009276', 'GO:0044848', 'GO:0090113']",GO:0090113,0.26306432,-0.025642265,-0.306514,0.00082792004,0.048569463,-0.004929346,0.2481557,0.015460826,0.32304928,-0.06954798,-0.22325699,-0.116344534,0.0911725,0.40390578,0.066971086,-0.44135407,0.13577278,-0.2341866,-0.28354055,-0.17850362,0.2122153,0.25724733,-0.022120653,0.01076445,-0.30934617,0.06806972,-0.14824665,0.17983003,0.012529717,-0.14168146,0.034081124,0.1235439,0.071397796,0.070517674,0.17909107,-0.16927598,-0.10369341,-0.21630742,-0.13187583,-0.047669243,0.04890217,0.24653742,0.02446756,0.20949847,0.20373458,0.10638585,0.14926465,0.0998778,0.3326667,-0.12018186,-0.3338206,-0.44558245,0.22041556,-0.16525055,0.16764325,0.12447306,-0.043259263,-0.12112207,-0.003413385,0.23276284,-0.17071077,-0.33000222,0.009801766,-0.21559712,0.04711875,0.001123218,0.28019592,-0.087240525,-0.12746629,-0.12069909,0.16478902,0.1072776,0.106994,-0.2503125,0.023883319,0.025679931,0.1299937,0.042890087,-0.1890016,-0.041586284,0.28458318,-0.047069184,-0.08341073,0.022320194,-0.11311504,-0.033632122,0.40235338,0.025619691,-0.17063823,-0.017220603,-0.30050024,0.062122703,0.124130204,-0.40361655,-0.09067672,0.037569277,0.12023631,0.10116356,-0.16034015,0.014377399
"['GO:0000269', 'GO:0007325', 'GO:0009273', 'GO:0009631', 'GO:0045865']",GO:0000269,0.45305237,-0.032369945,-0.14188844,-0.11624441,0.18280563,0.07966321,0.5615351,-0.019537318,0.7140991,-0.22363468,4.085045e-05,-0.50863034,-0.017468706,0.4257063,-0.44107917,-0.77521557,0.36526278,-0.19238709,-0.760069,-0.015546596,0.49879897,0.2532574,-0.117298946,0.018388364,-0.38654822,0.29608688,-0.3457795,0.17955425,-0.04856545,-0.2814652,0.06885995,0.35963473,-0.007021693,0.49951968,0.14730202,-0.23757413,-0.057774913,-0.36661246,-0.20365214,-0.373909,0.2663354,0.31917796,0.10095189,0.12543711,0.23393464,0.15305634,0.19180581,-0.19154441,0.42157012,-0.21993805,-0.74766564,-0.6529167,0.5475982,-0.1928649,0.20451526,0.15732054,-0.10843512,-0.14572822,-0.30418715,0.3830946,-0.16904305,-0.8874532,-0.21177216,-0.09517203,0.053569507,0.20086512,0.3566279,-0.09719475,-0.20031065,-0.19207768,0.45228973,0.08739029,0.27890673,-0.42989886,0.12460162,0.12660384,-0.13751446,-0.16650134,-0.39907172,0.14624578,0.4586833,0.059647616,-0.18148582,0.053331856,-0.26824546,-0.13603777,0.3124422,0.04824421,-0.33496904,-0.491181,-0.23373,0.07278853,-0.19805586,-0.5872328,-0.14444457,0.24942295,-0.05510754,0.124055944,-0.34106165,-0.3058111
"['GO:0000269', 'GO:0007325', 'GO:0009273', 'GO:0009631', 'GO:0045865']",GO:0007325,-0.00241938,-0.007170383,0.0016728223,-0.0060392153,0.006822926,-0.0006402946,-0.007448175,0.0061525917,-0.003865359,0.008717678,-0.00839634,-0.0077403877,0.002013607,-0.00086559536,0.009047678,0.009502875,0.0034928953,0.0011631965,-0.0056632436,-0.0061539174,0.0019835578,-0.003745619,0.0036634267,-0.00080930116,-0.006489159,0.0039361273,-0.004939823,-0.0024672712,-0.00545704,0.0007568443,-0.008592048,0.0028377867,-0.009237145,0.00612069,0.003248763,-0.009084378,9.472251e-05,0.00307716,-0.00893282,0.004444766,-0.00054935814,-0.003743161,-0.00048233272,0.004301885,0.002752012,-0.0004150963,-0.0026040494,0.008674131,0.008004539,0.0069743823,-0.005244032,-0.0056600617,0.0021242416,-0.009561841,0.0021662223,-0.004114025,-0.00028969644,0.0064050616,0.0035319317,-0.0028578257,-0.00082937954,0.0072811437,0.004365597,0.007387476,0.008230594,0.007652639,0.009035088,-0.0030705715,0.0010615897,0.0052468525,0.0076005687,-0.0063604484,-0.0003569126,-0.008156121,0.0018910861,-0.00806831,-0.009667012,-0.0072726216,-0.0072053983,0.0028726207,0.0024087452,-3.0674935e-05,-0.0043553007,0.0005677736,-0.002515112,0.008749267,0.009477197,-0.003202827,0.004767107,-0.00044913293,0.0075962604,-0.0026315714,0.00023474456,0.00087050797,0.0020296134,-0.0006657338,0.0029874085,0.00021371245,-0.0033901976,-9.535789e-05
