,GENE,GSM2732663,GSM2732664,GSM2732665,GSM2732666,GSM2732667,GSM2732668,GSM2732669,GSM2732670,GSM2732671,GSM2732672,GSM2732673,GSM2732674,GSM2732675,GSM2732676,GSM2732677,GSM2732678,GSM2732679,GSM2732680,GSM2732681,GSM2732682,GSM2732683,GSM2732684
0,SO_0001,-0.39223433,-0.6686859,-0.8211341,0.40453672,0.14791632,-0.51781416,-0.86000633,-0.22027826,-0.077176094,0.047717094,0.60663843,0.45975637,0.24578905,0.3118515,-0.65412855,-1.0028911,0.5598178,0.16138124,0.5183964,0.07461357,-0.1625781,-0.047717094
1,SO_0001,-0.24569583,-0.5061691,-0.86096597,0.94265246,0.65486264,-0.827677,-1.0266879,0.7751043,0.3428328,-0.02225089,1.0172498,0.2320373,1.0446928,0.58082795,-0.31404328,-1.1522167,0.5229714,-0.19865131,0.7099693,0.02225089,-0.7046139,-0.2210772
2,SO_0001,-0.7076256,-1.0421445,-0.7110107,-0.2651074,-0.1458199,1.4452746,0.67851853,1.1121552,-0.30623507,-0.5389612,0.07322097,-0.028705835,-0.5435908,-0.6354091,0.5876858,0.6991632,0.43245053,-0.23101592,0.028705835,0.07781911,0.360111,1.1109078
3,SO_0002,0.9739976,1.7207751,1.5671582,0.48120928,0.68970966,0.5968437,1.0622311,1.4548631,0.32572365,0.7002082,-0.27035284,0.27035284,-0.5238614,-0.48551607,-1.7392073,-0.4889412,-0.7436981,-0.79213166,-1.6265252,-2.3515801,-0.53412676,-1.2484236
4,SO_0002,1.1533196,0.583832,1.0823772,-0.17978644,0.4300363,0.94420075,0.869817,2.231014,0.612231,0.31236243,-0.14750504,-0.72571206,-0.76717734,-0.73745894,0.91790986,-0.02592349,-0.65428543,-0.47588062,-1.8355951,-2.2099326,-0.072799444,0.02592349
5,SO_0002,0.06637502,0.070503,0.28385806,-0.061993837,0.017777205,0.1175015,0.8821318,1.0142334,0.51370406,0.20974612,-0.80839705,0.39556766,-0.95017743,-1.0447543,-0.023671865,-0.16028953,-3.4442174,0.05607009,-2.7917209,-0.031276464,-1.5598638,-0.017777205
6,SO_0003,0.44441342,0.11444783,-0.21729827,0.37312198,0.19813895,-0.29474616,-0.88079906,-1.0008681,0.057380915,0.17491794,0.68776155,0.22145438,0.3920958,0.35519004,-0.52893233,-0.4019482,0.91526055,-0.10139704,-0.07797456,-0.057380915,-0.53850627,-2.611441
7,SO_0003,0.2351377,0.4964273,-0.66000915,0.15748906,0.07385802,-0.045945406,-0.36794257,0.28803182,0.045945406,0.6152508,0.65480256,-1.3566601,0.268152,0.6305454,-0.9684274,0.15915322,-1.2330418,-0.74229646,-1.3589463,-1.6638381,-0.5499623,-1.108568
8,SO_0003,-0.2311356,-0.820843,-0.09475398,-0.2817819,-0.46486306,0.11562371,-0.31480527,-0.26837564,0.014320612,-0.85257936,0.3673451,0.44591737,-0.014320612,-0.18772674,0.8157079,1.5654175,0.5736363,0.6826117,-0.5066073,1.4141934,0.78554225,0.8202598
9,SO_0004,0.99507666,0.70877314,0.84878683,0.2364564,0.595654,0.20480156,-0.3142128,-0.66835165,-0.3320923,0.120774746,0.014992237,-0.46799612,0.30859137,0.50771284,0.21753025,-0.12630701,-0.7157316,-1.0205936,-0.014992237,-0.07957363,-0.68190956,-1.059557
