,GENE,GSM663193,GSM663194,GSM663195,GSM663196,GSM663197,GSM663198
0,SO0001,0.515,0.0,-0.17,-0.848,-0.652,-0.678
1,SO0001,0.0,-1.0,-0.138,-1.263,-0.778,-0.515
2,SO0001F,,,,,,
3,SO0001F,,,,,,
4,SO0002,0.212,-0.348,-0.585,-2.064,-0.971,-0.521
5,SO0002,0.72,0.087,-0.186,-1.237,-0.84,-0.585
6,SO0003,-1.663,-1.254,-0.455,1.178,1.245,0.17
7,SO0003,-0.943,-1.158,-0.322,1.728,1.406,-0.087
8,SO0004,-1.681,-1.641,-2.006,1.74,1.626,1.686
9,SO0004,-2.039,-1.987,-2.312,1.058,1.466,1.729
10,SO0005,-2.161,-2.017,-2.352,2.855,2.115,2.358
11,SO0005,-2.159,-2.031,-1.9,3.263,2.284,2.478
12,SO0006,-1.718,-1.501,-2.674,2.821,1.914,2.167
13,SO0006,-1.445,-1.694,-2.564,3.342,2.08,2.886
14,SO0007,-1.222,-1.874,-2.783,0.441,0.818,1.796
15,SO0007,-1.899,-1.893,-2.455,1.64,0.63,1.843
16,SO0008,0.564,-0.159,-0.782,-0.189,0.538,0.528
17,SO0008,0.827,0.126,-0.293,0.234,0.0,0.174
18,SO0009,0.624,0.322,-0.296,-0.483,-0.466,-0.161
19,SO0009,0.211,-0.012,-0.528,-1.107,-0.511,-0.268
20,SO0009F,,,,,,
21,SO0009F,,,,,,
22,SO0010,0.569,0.256,-0.101,-0.168,-0.176,-0.173
23,SO0010,0.12,-0.202,-0.387,-0.851,-0.504,-0.451
24,SO0010F,,,,,,
25,SO0010F,,,,,,
26,SO0011,0.206,-0.013,-0.113,-1.188,-0.506,-0.464
27,SO0011,0.108,-0.66,-0.331,-1.666,-0.425,-0.501
28,SO0012,0.737,-0.322,-0.152,-1.737,-0.652,-0.585
29,SO0012,0.415,-0.322,0.222,-0.263,-0.222,-0.807
30,SO0013,1.415,0.628,0.206,-1.441,-1.874,-1.202
31,SO0013,0.737,0.28,0.241,-2.433,-1.766,-1.07
32,SO0014,0.638,0.592,0.957,-0.898,-0.659,-1.107
33,SO0014,0.346,0.152,0.538,-1.488,-0.958,-1.415
34,SO0015,-0.043,0.278,-0.073,-0.547,-0.555,-0.746
35,SO0015,0.628,0.51,0.524,0.095,-0.314,-0.363
36,SO0016,1.222,0.0,-0.222,-0.737,-0.322,-0.415
37,SO0016,1.322,0.322,-0.263,0.0,-0.263,0.0
38,SO0017,1.0,2.17,1.415,-0.737,-1.415,-1.737
39,SO0017,1.263,1.926,2.7,-0.415,-1.585,-2.415
40,SO0017F,,,,,,
41,SO0017F,,,,,,
42,SO0018,1.415,1.222,0.0,0.0,-1.0,-1.0
43,SO0018,1.322,1.0,-0.222,0.0,-1.0,-1.0
44,SO0019,,,,,,
45,SO0019,,,,,,
46,SO0020,4.06,3.154,2.954,-2.441,-2.147,-3.39
47,SO0020,3.523,3.268,2.74,-2.883,-2.793,-2.828
48,SO0021,3.47,2.896,2.684,-2.645,-2.894,-3.073
49,SO0021,4.011,3.05,2.984,-2.523,-2.554,-2.567
50,SO0022,2.637,1.761,0.198,-1.885,-1.682,-0.74
51,SO0022,2.737,1.659,0.401,-1.604,-1.342,-0.895
52,SO0023,2.213,1.544,-0.728,-0.7,-1.322,-1.129
53,SO0023,1.459,1.17,0.455,-1.0,-1.624,-1.385
54,SO0024,1.273,0.823,0.163,-0.652,-0.893,-0.943
55,SO0024,1.344,0.867,0.363,-0.515,-0.716,0.0
56,SO0024F,,,,,,
57,SO0024F,,,,,,
58,SO0025,1.367,0.705,-0.104,-0.436,-0.09,-0.495
59,SO0025,1.564,0.748,0.144,-0.129,-0.303,-0.559
60,SO0026,2.07,1.503,0.107,-0.531,-1.459,-0.193
61,SO0026,1.7,1.322,0.415,-0.7,-0.652,0.263
62,SO0027,1.527,1.635,0.755,-0.379,-0.714,-1.16
63,SO0027,1.402,1.706,0.391,-0.716,-1.604,-0.949
64,SO0028,1.644,1.737,1.08,-0.463,-1.193,-0.879
65,SO0028,1.652,1.215,0.603,-0.623,-1.363,-1.312
66,SO0029,1.322,1.358,1.279,-1.328,-1.573,-1.948
67,SO0029,0.97,1.0,0.96,-1.892,-1.798,-1.846
68,SO0030,1.369,1.193,1.241,0.469,-0.652,-1.379
69,SO0030,1.17,1.115,0.926,0.206,-0.807,-0.848
70,SO0030F,,,,,,
71,SO0030F,,,,,,
72,SO0031,0.885,0.893,0.926,-1.354,-1.489,-2.074
73,SO0031,1.061,1.248,1.17,-1.107,-1.348,-1.883
74,SO0032,1.115,1.295,0.716,-0.175,-0.826,-0.39
75,SO0032,0.632,0.621,0.406,-0.936,-1.029,-0.898
76,SO0033,1.415,0.913,0.639,-2.273,-1.297,-1.655
77,SO0033,1.819,1.12,0.982,-1.585,-1.402,-1.67
78,SO0034,0.319,0.291,-0.709,-1.048,-1.353,-0.489
79,SO0034,0.149,-0.29,-0.936,-1.778,-1.487,-0.04
80,SO0034F,,,,,,
81,SO0034F,,,,,,
82,SO0035,0.468,0.424,-0.604,-0.231,-0.772,-0.241
83,SO0035,-0.027,0.089,-0.756,-0.755,-1.033,0.061
84,SO0036,-1.354,-1.263,-1.524,-1.354,-1.17,-0.737
85,SO0036,-0.885,-0.652,-1.129,-1.0,-1.0,-0.556
86,SO0036F,,,,,,
87,SO0036F,,,,,,
88,SO0036F,,,,,,
89,SO0036F,,,,,,
90,SO0037,0.0,-0.379,-0.566,0.585,0.621,0.678
91,SO0037,-0.447,-0.556,-1.0,-0.057,0.1,0.466
92,SO0038,0.273,-0.212,-0.686,-0.356,-0.09,-0.082
93,SO0038,0.158,-0.536,-0.716,-0.604,-0.119,0.0
94,SO0039,0.0,0.0,-0.415,-0.893,-0.152,-0.678
95,SO0039,0.585,0.222,0.0,-0.17,-0.17,-0.415
96,SO0040,0.7,0.0,-0.107,-1.17,-0.788,-1.193
97,SO0040,0.7,0.138,0.1,-0.637,-0.628,-0.874
98,SO0041,,,,,,
99,SO0041,,,,,,
100,SO0042,0.823,0.778,0.671,-0.061,-0.295,-0.234
101,SO0042,-0.193,0.678,0.042,-0.608,-0.601,-0.688
102,SO0042F,,,,,,
103,SO0042F,,,,,,
104,SO0044,0.485,0.678,-0.222,0.485,-0.652,-0.737
105,SO0044,0.737,1.0,0.263,0.585,-0.415,0.322
106,SO0045,0.881,0.926,0.493,0.617,-0.3,-0.387
107,SO0045,0.617,0.918,0.495,0.415,-0.348,-0.441
108,SO0046,0.848,0.652,0.515,0.585,-0.17,-0.678
109,SO0046,1.17,1.222,0.893,0.263,-0.322,-0.485
110,SO0047,0.263,0.5,0.314,0.379,-0.697,-0.97
111,SO0047,0.547,0.585,0.619,0.93,-0.322,-1.263
112,SO0048,1.547,1.0,1.1,-0.379,-0.933,-1.35
113,SO0048,1.04,0.967,1.297,-0.55,0.909,-1.71
114,SO0049,1.72,0.954,1.528,-0.554,-0.851,-1.632
115,SO0049,1.282,1.033,0.868,-0.306,-0.775,-1.669
116,SO0049F,,,,,,
117,SO0049F,,,,,,
118,SO0050,0.766,0.469,-1.0,1.0,0.848,0.766
119,SO0050,0.547,0.138,-1.0,0.644,0.276,0.585
120,SO0051,0.0,-0.415,-0.585,-1.322,-1.322,-0.585
121,SO0051,-0.485,0.0,-1.107,-1.415,-1.585,-1.222
122,SO0051F,,,,,,
123,SO0051F,,,,,,
124,SO0052,1.488,1.023,-0.067,0.275,-0.681,0.828
125,SO0052,1.218,1.198,-0.455,0.149,-0.332,0.471
126,SO0053,0.851,0.782,0.215,-0.088,-0.676,-0.552
