SAMPLES,CONCEPTS
GSM4113865,"['GO_0035195', 'GO_0002795', 'GO_2000474', 'GO_0060206', 'GO_0046484', 'GO_0050781', 'GO_0018464', 'GO_0052356', 'GO_0090707', 'GO_0050599']"
GSM4113866,"['GO_0035195', 'GO_0002795', 'GO_2000474', 'GO_0060206', 'GO_0046484', 'GO_0050781', 'GO_0018464', 'GO_0052356', 'GO_0090707', 'GO_0050599']"
GSM4113867,"['GO_0035195', 'GO_0002795', 'GO_2000474', 'GO_0060206', 'GO_0046484', 'GO_0050781', 'GO_0018464', 'GO_0052356', 'GO_0090707', 'GO_0050599']"
GSM4113868,"['GO_0035195', 'GO_0002795', 'GO_2000474', 'GO_0060206', 'GO_0046484', 'GO_0050781', 'GO_0018464', 'GO_0052356', 'GO_0090707', 'GO_0050599']"
GSM4113869,"['GO_0035195', 'GO_0002795', 'GO_2000474', 'GO_0060206', 'GO_0046484', 'GO_0018464', 'GO_0050781', 'GO_0042004', 'GO_0090707', 'GO_0052356']"
GSM4113870,"['GO_0035195', 'GO_0002795', 'GO_2000474', 'GO_0060206', 'GO_0046484', 'GO_0018464', 'GO_0050781', 'GO_0042004', 'GO_0090707', 'GO_0052356']"
GSM4113871,"['GO_0035195', 'GO_0002795', 'GO_2000474', 'GO_0060206', 'GO_0046484', 'GO_0018464', 'GO_0050781', 'GO_0042004', 'GO_0090707', 'GO_0052356']"
GSM4113872,"['GO_0035195', 'GO_0002795', 'GO_2000474', 'GO_0060206', 'GO_0046484', 'GO_0018464', 'GO_0050781', 'GO_0042004', 'GO_0090707', 'GO_0052356']"
GSM4113873,"['GO_0035195', 'GO_0002795', 'GO_2000474', 'GO_0060206', 'GO_0046484', 'GO_0050781', 'GO_0042004', 'GO_0018464', 'GO_0052356', 'GO_0090707']"
GSM4113874,"['GO_0035195', 'GO_0002795', 'GO_2000474', 'GO_0060206', 'GO_0046484', 'GO_0050781', 'GO_0042004', 'GO_0018464', 'GO_0052356', 'GO_0090707']"
GSM4113875,"['GO_0035195', 'GO_0002795', 'GO_2000474', 'GO_0060206', 'GO_0046484', 'GO_0050781', 'GO_0042004', 'GO_0018464', 'GO_0052356', 'GO_0090707']"
GSM4113876,"['GO_0035195', 'GO_0002795', 'GO_2000474', 'GO_0060206', 'GO_0046484', 'GO_0050781', 'GO_0042004', 'GO_0018464', 'GO_0052356', 'GO_0090707']"
GSM8145371,"['GO_0020028', 'GO_0042998', 'GO_0102452', 'GO_0031157', 'GO_0102694', 'GO_0005308', 'GO_1901083', 'GO_1990439', 'GO_0090117', 'GO_1901905']"
GSM8145372,"['GO_0020028', 'GO_0042998', 'GO_0102452', 'GO_0031157', 'GO_0102694', 'GO_0005308', 'GO_1901083', 'GO_1990439', 'GO_0090117', 'GO_1901905']"
GSM8145373,"['GO_0020028', 'GO_0102452', 'GO_0042998', 'GO_0031157', 'GO_0102694', 'GO_0005308', 'GO_1901083', 'GO_1990439', 'GO_0090117', 'GO_1901905']"
GSM8145374,"['GO_0102452', 'GO_0042998', 'GO_0020028', 'GO_0031157', 'GO_0102694', 'GO_0005308', 'GO_1901083', 'GO_0090117', 'GO_1990439', 'GO_1901905']"
GSM8145375,"['GO_0020028', 'GO_0042998', 'GO_0102452', 'GO_0031157', 'GO_0102694', 'GO_0005308', 'GO_1901083', 'GO_1990439', 'GO_0090117', 'GO_1901905']"
GSM8145376,"['GO_0020028', 'GO_0042998', 'GO_0102452', 'GO_0031157', 'GO_0102694', 'GO_0005308', 'GO_1901083', 'GO_1990439', 'GO_0090117', 'GO_1901905']"
GSM8145377,"['GO_0020028', 'GO_0102452', 'GO_0042998', 'GO_0031157', 'GO_0102694', 'GO_0005308', 'GO_1901083', 'GO_1990439', 'GO_0090117', 'GO_1901905']"
GSM8145378,"['GO_0102452', 'GO_0042998', 'GO_0020028', 'GO_0031157', 'GO_0102694', 'GO_0005308', 'GO_1901083', 'GO_0090117', 'GO_1990439', 'GO_1901905']"
GSM1906887,"['GO_0004140', 'GO_0021820', 'GO_0102835', 'GO_0099567', 'GO_0002021', 'GO_1902652', 'GO_2000336', 'GO_0035191', 'GO_2000245', 'GO_0071174']"
GSM1906888,"['GO_0004140', 'GO_0021820', 'GO_0102835', 'GO_0099567', 'GO_0002021', 'GO_1902652', 'GO_2000336', 'GO_0035191', 'GO_2000245', 'GO_0071174']"
GSM1906889,"['GO_0110074', 'GO_0004140', 'GO_0071174', 'GO_1902652', 'GO_0034357', 'GO_0008091', 'GO_0071394', 'GO_2000336', 'GO_0035495', 'GO_0051920']"
