gene_id	conf	product
SO_3588	0.18	yaaH - membrane protein associated with acetate transport YaaH
SO_4640	0.17	antioxidant AhpC/Tsa family
SO_3685	0.17	csgG - curli secretion apparatus outer membrane lipoprotein component CsgG
SO_2264	0.16	iscS - cysteine desulfurase IscS
SO_4418	0.16	CHAP domain protein
SO_3411	0.15	predicted non-catalytic member of peptidase subfamily S41B
SO_0768	0.14	argR - NAD dependent epimerase/dehydratase family protein
SO_1217	0.14	deoC - deoxyribose-phosphate aldolase DeoC
SO_1521	0.14	dld - respiratory FAD-dependent D-lactate dehydrogenase Dld
SO_3176	0.14	O-antigen biosynthesis glycosyl transferase family 4
SO_3915	0.14	cheX - chemotaxis signal transduction system CheY dephosphorylase CheX
SO_4420	0.14	subfamily M23B unassigned peptidase
SO_3037	0.13	xth - exodeoxyribonuclease III Xth
SO_1917	0.13	major facilitator superfamily transporter required for growth on DMSO MFS superfamily
SO_2067	0.13	hisIE - bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase HisIE
SO_4105	0.13	mshA - MSHA major pilin subunit MshA
SO_3464	0.13	thiL - thiamine-phosphate kinase ThiL
SO_4040	0.12	10 TMS drug/metabolite efflux pump (DME) family
SO_3244	0.12	flgG - flagellar component of cell-distal portion of basal-body rod FlgG
SO_0276	0.12	argB - acetylglutamate kinase ArgB
SO_3135	0.12	dctQ - TRAP-type C4-dicarboxylate:H+ symport system small permease component DctQ
SO_3595	0.12	rstB - two component signal transduction system histidine kinase RstB
SO_3299	0.12	phenylalanine/histidine ammonia-lyase family protein
SO_2270	0.12	rimK - ribosomal protein S6 glutaminyl transferase RimK
SO_1483	0.12	aceB - malate synthase A AceB
SO_2389	0.11	emrD - multidrug efflux protein EmrD
SO_2378	0.11	tusB - tRNA 2-thiouridine synthesizing protein B subunit TusB
SO_2269	0.11	fdx - ferredoxin 2Fe-2S type ISC system Fdx
SO_2949	0.11	L - Lambda phage minor tail protein L
----------
SO_0107	0.07	fdhD - formate dehydrogenase assembly/maturation protein FdhD
SO_1776	0.07	mtrB - extracellular iron oxide respiratory system outer membrane component MtrB
SO_1171	0.06	nadD - nicotinate-nucleotide adenylyltransferase NadD
SO_0770	0.05	mdh - NAD dependent malate dehydrogenase Mdh
SO_4510	0.04	fdhB - formate dehydrogenase FeS subunit FdhB
SO_0104	0.03	fdhE - nitrate-inducible formate dehydrogenase chaperone FdhE
SO_1779	0.03	omcA - extracellular iron oxide respiratory system surface decaheme cytochrome c component OmcA
SO_2345	0.03	gapA - glyceraldehyde-3-phosphate dehydrogenase (NAD+) GapA
SO_2912	0.03	pflB - pyruvate formate-lyase PflB
SO_4511	0.02	fdhC - formate dehydrogenase cytochrome b subunit FdhC
SO_0272	0.02	pncC - nicotinamide deamidase PncC
SO_0624	0.02	crp - cAMP-responsive regulator of catabolite repression Crp
SO_3975	0.02	unknown - membrane protein PAP2 superfamily
SO_4509	0.02	fdhA - formate dehydrogenase molybdopterin-binding subunit FdhA
SO_4591	0.02	cymA - membrane anchored tetraheme cytochrome c CymA
SO_3922	0.01	fdh - formate dehydrogenase cytochrome b Fdh
SO_3469	0.01	ribD - bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino) uracil reductase RibD
SO_1523	0.01	nadF - NAD kinase NadF
SO_1780	0.01	mtrF - extracellular respiratory system surface decaheme cytochrome c component MtrF
SO_2185	0.01	ppx - exopolyphosphatase Ppx
SO_2296	0.01	ribC - 
SO_3370	0.01	yceI - UPF0312 family alkali-inducible periplasmic protein YceI
SO_3077	0.01	ATP-NAD kinase
SO_0142	0.00	ribB - 
SO_1329	0.00	cyaC - adenylate cyclase CyaC
SO_1778	0.00	mtrC - extracellular iron oxide respiratory system surface decaheme cytochrome c component MtrC
SO_2021	0.00	nadE - NH(3)-dependent NAD(+) synthetase NadE
SO_2831	0.00	ribA - GTP cyclohydrolase II RibA
SO_3466	0.00	ribE - riboflavin synthase beta subunit RibE
SO_3467	0.00	ribBA - bifunctional 34-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II RibBA
SO_3516	0.00	nagR - transcriptional repressor of N-acetylglucosamine utilization NagR
SO_4507	0.00	fdhT - formate dehydrogenase chaperone FdhT
SO_4508	0.00	fdhX - formate dehydrogenase accessory protein FdhX
SO_4512	0.00	fdhX - Fnr-inducible formate dehydrogenase accessory protein FdhX
