gene_id	conf	product
SO_2063	1.0	outer membrane lipoprotein
SO_4121	0.95	protein with C-terminal FimV core domain
SO_4562	0.95	tellurium resistance terB-like protein subgroup 2
SO_0055	0.94	tetratricopeptide repeat-containing protein
SO_3975	0.92	membrane protein PAP2 superfamily
SO_4429	0.92	putative periplasmic protein
SO_1444	0.9	toxin module of toxin-antitoxin system RelE/StbE family
SO_4361	0.9	extracellular oxidoreductase associated protein
SO_0306	0.89	outer membrane protein COG4775 family
SO_0797	0.89	periplasmic thioredoxin-family protein
SO_0975	0.88	disulphide interchange protein DsbD family
SO_3550	0.88	anti-sigma factor
SO_4342	0.87	predicted lipoprotein
SO_4385	0.87	von Willebrand factor type A domain protein
SO_4714	0.87	ABC-type amino acid uptake system substrate-binding component PAAT family
SO_1428	0.86	extracellular dimethyl sulfoxide/manganese oxide reductase outer membrane translocase DmsF
SO_3407	0.86	putative siderophore transporter component 2
SO_4639	0.86	periplasmic OB fold (BOF) protein
SO_4356	0.85	predicted lipoprotein
SO_2991	0.84	Lambda phage lipoprotein
SO_0660	0.8	Mu phage conserved phage protein
SO_3905	0.8	predicted outer membrane protein
SO_1441	0.79	putative cytoplasmic protein
SO_0339	0.78	modulator of rho-dependent transcriptional termination RofA
SO_2360	0.78	Cbb3-type cytochrome oxidase assembly protein CcoH
SO_4434	0.77	type I pilus assembly chaperone CooB
SO_0757	0.76	TPR domain lipoprotein
SO_4169	0.76	deoxyribodipyrimidine photolyase-related protein
SO_3256	0.74	outer membrane lipoprotein required for flagellar motility FlgP
SO_4701	0.74	predicted periplasmic protein
SO_3525	0.73	type IV pili system adhesin PilY
SO_4035	0.73	predicted membrane protein
SO_0403	0.72	predicted outer membrane protein
SO_3054	0.71	metallo-beta-lactamase family protein
SO_3502	0.7	TIGR02001 family outer membrane protein
SO_1004	0.69	putative inner membrane lipoprotein
SO_2797	0.69	glutaredoxin
SO_3694	0.64	ABC-type macrolide family export system MFP component
SO_0974	0.63	putative cytoplasmic protein
SO_3668	0.63	heme iron utilization protein HmuX
SO_3344	0.61	predicted inner membrane protein
SO_1047	0.6	inner membrane protein LrgA
SO_4013	0.59	TPR repeat domain protein
SO_0661	0.58	Mu phage mom transcriptional regulator Com
SO_4563	0.57	HDOD domain protein
SO_0462	0.56	predicted inner membrane protein
SO_4508	0.56	formate dehydrogenase accessory protein FdhX
SO_1872	0.55	surface lipoprotein with VCBS repeats
SO_3051	0.55	xanthine and CO dehydrogenase family maturation factor XdhC/CoxF family
SO_0126	0.54	DUF833 family protein
SO_0203	0.54	predicted periplasmic protein
SO_1337	0.54	predicted periplasmic protein
SO_3062	0.54	predicted inner membrane protein
SO_0971	0.52	predicted membrane protein
SO_2219	0.52	predicted membrane protein
SO_3495	0.52	OsmC-like superfamily protein
SO_1475	0.51	UPF0125 family protein YfjF
