gene_id	conf	product
SO_0660	1.0	Mu phage conserved phage protein
SO_2991	1.0	Lambda phage lipoprotein
SO_4121	1.0	protein with C-terminal FimV core domain
SO_4562	1.0	tellurium resistance terB-like protein subgroup 2
SO_0055	0.99	tetratricopeptide repeat-containing protein
SO_3523	0.99	type IV pilin system protein
SO_4356	0.98	predicted lipoprotein
SO_4714	0.98	ABC-type amino acid uptake system substrate-binding component PAAT family
SO_2868	0.97	SirA-like protein
SO_2876	0.97	predicted lipoprotein
SO_0078	0.96	predicted lipoprotein
SO_0329	0.96	predicted lipoprotein
SO_0054	0.95	HI0933 family flavoprotein YhiN
SO_0203	0.95	predicted periplasmic protein
SO_1425	0.95	outer membrane morn variant repeat-containing protein
SO_4385	0.95	von Willebrand factor type A domain protein
SO_0974	0.94	putative cytoplasmic protein
SO_3105	0.94	periplasmic rhodanese domain protein
SO_0339	0.93	modulator of rho-dependent transcriptional termination RofA
SO_2219	0.92	predicted membrane protein
SO_0797	0.91	periplasmic thioredoxin-family protein
SO_0971	0.91	predicted membrane protein
SO_2063	0.91	outer membrane lipoprotein
SO_2529	0.91	predicted rhombotail lipoprotein
SO_0757	0.9	TPR domain lipoprotein
SO_0908	0.9	ankyrin domain protein
SO_0126	0.89	DUF833 family protein
SO_1830	0.87	diguanylate cyclase
SO_4563	0.87	HDOD domain protein
SO_3051	0.86	xanthine and CO dehydrogenase family maturation factor XdhC/CoxF family
SO_3454	0.86	putative cytoplasmic protein
SO_4013	0.86	TPR repeat domain protein
SO_3256	0.84	outer membrane lipoprotein required for flagellar motility FlgP
SO_4508	0.84	formate dehydrogenase accessory protein FdhX
SO_0480	0.8	sulfurtransferase SirB
SO_1190	0.79	putative periplasmic CbiK superfamily protein
SO_0033	0.78	peptidoglycan-binding protein
SO_2960	0.75	Lambda phage phage head-tail joining protein
SO_1610	0.74	Zn-ribbon-containing possibly nucleic-acid-binding protein DUF2310
SO_4196	0.74	predicted membrane protein
SO_1475	0.73	UPF0125 family protein YfjF
SO_0306	0.71	outer membrane protein COG4775 family
SO_3081	0.71	UPF0115 family protein YfcN
SO_1444	0.7	toxin module of toxin-antitoxin system RelE/StbE family
SO_3907	0.7	cytochrome oxidase copper metallochaperone
SO_4035	0.7	predicted membrane protein
SO_4551	0.7	predicted periplasmic protein
SO_1713	0.69	putative lipoprotein
SO_4037	0.69	predicted lipoprotein
SO_4169	0.69	deoxyribodipyrimidine photolyase-related protein
SO_4361	0.69	extracellular oxidoreductase associated protein
SO_0647	0.68	Mu phage protein Kil
SO_3344	0.68	predicted inner membrane protein
SO_3905	0.68	predicted outer membrane protein
SO_4646	0.65	propeptide PepSY amd peptidase M4 domain protein
SO_0615	0.63	HD domain protein
SO_3975	0.63	membrane protein PAP2 superfamily
SO_3407	0.62	putative siderophore transporter component 2
SO_4434	0.62	type I pilus assembly chaperone CooB
SO_0562	0.58	membrane protein
SO_0661	0.55	Mu phage mom transcriptional regulator Com
SO_1824	0.54	TonB2 energy transduction system periplasmic component
SO_1441	0.52	putative cytoplasmic protein
SO_3054	0.52	metallo-beta-lactamase family protein
SO_3343	0.52	predicted lipoprotein
SO_4178	0.52	membrane anchored protein MxdC
SO_4639	0.52	periplasmic OB fold (BOF) protein
SO_3525	0.51	type IV pili system adhesin PilY
