gene_id	conf	product
SO_2991	0.99	Lambda phage lipoprotein
SO_4562	0.99	tellurium resistance terB-like protein subgroup 2
SO_0908	0.96	ankyrin domain protein
SO_4121	0.95	protein with C-terminal FimV core domain
SO_0203	0.94	predicted periplasmic protein
SO_0339	0.93	modulator of rho-dependent transcriptional termination RofA
SO_4385	0.92	von Willebrand factor type A domain protein
SO_0055	0.89	tetratricopeptide repeat-containing protein
SO_0126	0.89	DUF833 family protein
SO_4356	0.89	predicted lipoprotein
SO_4508	0.87	formate dehydrogenase accessory protein FdhX
SO_4639	0.87	periplasmic OB fold (BOF) protein
SO_0329	0.85	predicted lipoprotein
SO_1475	0.85	UPF0125 family protein YfjF
SO_2063	0.85	outer membrane lipoprotein
SO_0660	0.84	Mu phage conserved phage protein
SO_1428	0.84	extracellular dimethyl sulfoxide/manganese oxide reductase outer membrane translocase DmsF
SO_3054	0.84	metallo-beta-lactamase family protein
SO_0306	0.83	outer membrane protein COG4775 family
SO_4361	0.83	extracellular oxidoreductase associated protein
SO_2219	0.82	predicted membrane protein
SO_3406	0.82	putative siderophore transporter component 1
SO_3905	0.82	predicted outer membrane protein
SO_0033	0.81	peptidoglycan-binding protein
SO_3686	0.81	curli secretion apparatus component CsgF
SO_3407	0.79	putative siderophore transporter component 2
SO_4714	0.79	ABC-type amino acid uptake system substrate-binding component PAAT family
SO_0757	0.78	TPR domain lipoprotein
SO_1872	0.78	surface lipoprotein with VCBS repeats
SO_0975	0.74	disulphide interchange protein DsbD family
SO_4563	0.74	HDOD domain protein
SO_0805	0.73	CBS domain containing protein
SO_1047	0.73	inner membrane protein LrgA
SO_3051	0.73	xanthine and CO dehydrogenase family maturation factor XdhC/CoxF family
SO_0974	0.72	putative cytoplasmic protein
SO_0403	0.7	predicted outer membrane protein
SO_3550	0.7	anti-sigma factor
SO_0797	0.69	periplasmic thioredoxin-family protein
SO_0971	0.69	predicted membrane protein
SO_4013	0.69	TPR repeat domain protein
SO_4035	0.69	predicted membrane protein
SO_4169	0.69	deoxyribodipyrimidine photolyase-related protein
SO_4342	0.69	predicted lipoprotein
SO_1425	0.68	outer membrane morn variant repeat-containing protein
SO_1441	0.67	putative cytoplasmic protein
SO_3256	0.67	outer membrane lipoprotein required for flagellar motility FlgP
SO_3975	0.67	membrane protein PAP2 superfamily
SO_0647	0.66	Mu phage protein Kil
SO_2360	0.66	Cbb3-type cytochrome oxidase assembly protein CcoH
SO_0480	0.65	sulfurtransferase SirB
SO_3523	0.65	type IV pilin system protein
SO_4196	0.65	predicted membrane protein
SO_3344	0.63	predicted inner membrane protein
SO_4429	0.63	putative periplasmic protein
SO_4037	0.62	predicted lipoprotein
SO_1713	0.6	putative lipoprotein
SO_4646	0.57	propeptide PepSY amd peptidase M4 domain protein
SO_1830	0.56	diguanylate cyclase
SO_0041	0.54	G-protein receptor interacting sweet protein
SO_3910	0.53	putative periplasmic protein
SO_4434	0.53	type I pilus assembly chaperone CooB
SO_2868	0.52	SirA-like protein
SO_0661	0.51	Mu phage mom transcriptional regulator Com
