gene_id	conf	product
SO_0184	1.00	microcystin dependent MdpB family protein
SO_0284	1.00	PilQ chaperone PilP
SO_0386	1.00	excisionase/response regulator inhibitor-like protein
SO_0557	1.00	protein GumN
SO_1318	1.00	NTF2-like superfamily protein
SO_2063	1.00	outer membrane lipoprotein
SO_2694	1.00	Mu phage tail tube protein GpM
SO_3257	1.00	outer membrane lipoprotein required for flagellar motility FlgO
SO_3337	1.00	signal transduction protein with HDOD/GAF domains
SO_3761	1.00	predicted lipoprotein
SO_4008	1.00	putative recombination regulator protein DUF3584 family
SO_4145	1.00	signalling protein with EAL and C2 domains
SO_0581	0.99	Zn-binding protein
SO_0851	0.99	PilD processed protein
SO_4560	0.99	predicted membrane protein
SO_0855	0.98	hydroxyneurosporene synthase AttH
SO_2497	0.98	SEC-C domain protein
SO_2848	0.98	putative periplasmic protein
SO_3758	0.98	sodium-dependent bicarbonate transporter (SBT) family
SO_4064	0.98	pentapeptide repeat protein McbG
SO_4205	0.98	putative periplasmic protein in twin arginine protein translocase system locus
SO_0013	0.97	metal-dependent phosphohydrolase
SO_0088	0.97	predicted periplasmic protein
SO_1405	0.97	periplasmic transglutaminase family protein
SO_1572	0.97	small highly charged protein
SO_1868	0.97	nucleic acid binding superfamily protein YitL type
SO_1957	0.97	predicted periplasmic protein
SO_0085	0.96	predicted inner membrane protein
SO_0381	0.96	type I RM locus Fic family protein
SO_0559	0.96	MaoC domain protein
SO_0563	0.96	membrane protein
SO_1462	0.96	cytoplasmic protein in type I restriction-modifcation system locus
SO_1958	0.96	glyoxylase-like domain protein
SO_2677	0.96	Mu phage small terminase subunit GpD
SO_2958	0.96	Lambda phage protein HK97-gp10 family
SO_3909	0.96	predicted membrane protein
SO_4031	0.96	predicted transmembrane protein
SO_4486	0.96	PepSY domain protein
SO_4627	0.96	glutamine rich protein
SO_0720	0.95	predicted periplasmic protein
SO_0736	0.95	predicted periplasmic protein
SO_2830	0.95	predicted outer membrane protein
SO_3512	0.95	SapC family protein
SO_3772	0.95	SH3 domain protein
SO_4121	0.95	protein with C-terminal FimV core domain
SO_4562	0.95	tellurium resistance terB-like protein subgroup 2
SO_0055	0.94	tetratricopeptide repeat-containing protein
SO_1254	0.94	signal transduction superfamily protein with modified HD-GYP domain
SO_1705	0.94	ABC-type drugE1 family efflux system MFP component
SO_1814	0.94	late competence development protein ComFB
SO_4600	0.94	glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein
SO_0309	0.93	membrane protein MAPEG superfamily
SO_1002	0.93	outer membrane morn variant repeat-containing protein
SO_2951	0.93	Lambda phage protein of known function
SO_4359	0.93	outer membrane protein MtrB family
SO_2247	0.92	putative lipoprotein
SO_3357	0.92	outer membrane protein
SO_3975	0.92	membrane protein PAP2 superfamily
SO_4429	0.92	putative periplasmic protein
SO_0651	0.91	Mu phage host gene modulation protein GemA
SO_2667	0.91	Mu phage host gene modulation protein GemA
SO_4280	0.91	CBS domain containing protein
SO_4685	0.91	outer membrane protein in capsule/EPS biosynthesis locus
SO_1003	0.90	outer membrane morn variant repeat-containing protein
SO_1444	0.90	toxin module of toxin-antitoxin system RelE/StbE family
SO_4361	0.90	extracellular oxidoreductase associated protein
SO_0109	0.89	SirA family protein YedF
SO_0306	0.89	outer membrane protein COG4775 family
SO_0797	0.89	periplasmic thioredoxin-family protein
SO_2082	0.89	rod shape-determining-related protein
SO_3085	0.89	predicted periplasmic protein
SO_0186	0.88	microcystin dependent MdpB family protein
SO_0466	0.88	toxin-antitoxin system antidote
SO_0975	0.88	disulphide interchange protein DsbD family
SO_3550	0.88	anti-sigma factor
SO_4342	0.87	predicted lipoprotein
SO_4385	0.87	von Willebrand factor type A domain protein
SO_4714	0.87	ABC-type amino acid uptake system substrate-binding component PAAT family
SO_0076	0.86	outer membrane morn variant repeat-containing protein
SO_0668	0.86	Mu phage minor capsid protein GpF
SO_1305	0.86	membrane protein
SO_1428	0.86	extracellular dimethyl sulfoxide/manganese oxide reductase outer membrane translocase DmsF
SO_3407	0.86	putative siderophore transporter component 2
SO_4639	0.86	periplasmic OB fold (BOF) protein
SO_4356	0.85	predicted lipoprotein
SO_2991	0.84	Lambda phage lipoprotein
SO_3841	0.84	anti-sigma factor
SO_4193	0.84	esterase/lipase/thioesterase family protein
SO_0112	0.83	inhibitor of invertebrate-type lysozyme PliI-like family
SO_1468	0.83	ADP-ribose binding domain-containing protein
SO_2228	0.83	CBS domain containing protein
SO_2357	0.83	Cbb3-type cytochrome oxidase assembly protein disulfide bond oxidoreductase DsbD family
SO_2808	0.83	protein with CobQ/CobB/MinD/ParA nucleotide binding domain
SO_3157	0.83	polysaccharide biosynthesis lipoprotein WbfD
SO_3259	0.83	motility accessory factor Maf
SO_0459	0.82	putative ATPase DUF853 family
SO_4641	0.82	toxin-antitoxin system toxin RelE family
SO_0758	0.81	predicted periplasmic protein
SO_0941	0.81	predicted transmembrane protein
SO_3716	0.81	DnaJ domain protein
SO_0660	0.80	Mu phage conserved phage protein
SO_3905	0.80	predicted outer membrane protein
SO_1029	0.79	predicted lipoprotein
SO_1441	0.79	putative cytoplasmic protein
SO_0339	0.78	modulator of rho-dependent transcriptional termination RofA
SO_0547	0.78	putative outer membrane protein TIGR02001 family
SO_2360	0.78	Cbb3-type cytochrome oxidase assembly protein CcoH
SO_3591	0.78	predicted periplasmic protein
SO_4107	0.77	MshA biogenesis protein MshF
