gene_id	conf	product
SO_0085	1.00	predicted inner membrane protein
SO_0088	1.00	predicted periplasmic protein
SO_0109	1.00	SirA family protein YedF
SO_0184	1.00	microcystin dependent MdpB family protein
SO_0557	1.00	protein GumN
SO_0651	1.00	Mu phage host gene modulation protein GemA
SO_1003	1.00	outer membrane morn variant repeat-containing protein
SO_1318	1.00	NTF2-like superfamily protein
SO_1757	1.00	transcription activator-like effector binding domain protein
SO_1814	1.00	late competence development protein ComFB
SO_1957	1.00	predicted periplasmic protein
SO_1958	1.00	glyoxylase-like domain protein
SO_2082	1.00	rod shape-determining-related protein
SO_2694	1.00	Mu phage tail tube protein GpM
SO_2931	1.00	cytochrome c lipoprotein
SO_2951	1.00	Lambda phage protein of known function
SO_3257	1.00	outer membrane lipoprotein required for flagellar motility FlgO
SO_3357	1.00	outer membrane protein
SO_3761	1.00	predicted lipoprotein
SO_3909	1.00	predicted membrane protein
SO_3965	1.00	phosphotransferase system (PTS) phosphohisitinoprotein-hexose phosphotransferase comonent PtsO
SO_4008	1.00	putative recombination regulator protein DUF3584 family
SO_4121	1.00	protein with C-terminal FimV core domain
SO_4193	1.00	esterase/lipase/thioesterase family protein
SO_4562	1.00	tellurium resistance terB-like protein subgroup 2
SO_4627	1.00	glutamine rich protein
SO_0284	0.99	PilQ chaperone PilP
SO_0628	0.99	bifunctional diguanylate cyclase/phosphodiesterase
SO_0667	0.99	Mu phage portal protein
SO_0736	0.99	predicted periplasmic protein
SO_3085	0.99	predicted periplasmic protein
SO_3526	0.99	type IV minor pilin protein PilX
SO_3829	0.99	hypothetical protein
SO_4031	0.99	predicted transmembrane protein
SO_4359	0.99	outer membrane protein MtrB family
SO_4486	0.99	PepSY domain protein
SO_0386	0.98	excisionase/response regulator inhibitor-like protein
SO_0758	0.98	predicted periplasmic protein
SO_0855	0.98	hydroxyneurosporene synthase AttH
SO_0925	0.98	signalling protein with GGDEF domain
SO_1854	0.98	outer membrane protein required for motility and nitrate resistance
SO_2667	0.98	Mu phage host gene modulation protein GemA
SO_2848	0.98	putative periplasmic protein
SO_2917	0.98	predicted lipoprotein
SO_2958	0.98	Lambda phage protein HK97-gp10 family
SO_3157	0.98	polysaccharide biosynthesis lipoprotein WbfD
SO_3591	0.98	predicted periplasmic protein
SO_3841	0.98	anti-sigma factor
SO_4205	0.98	putative periplasmic protein in twin arginine protein translocase system locus
SO_4522	0.98	putative periplasmic protein
SO_0078	0.97	predicted lipoprotein
SO_0309	0.97	membrane protein MAPEG superfamily
SO_0547	0.97	putative outer membrane protein TIGR02001 family
SO_0563	0.97	membrane protein
SO_0660	0.97	Mu phage conserved phage protein
SO_1086	0.97	predicted inner membrane protein
SO_3377	0.97	predicted periplasmic protein
SO_3474	0.97	metallo-beta-lactamase family protein
SO_3716	0.97	DnaJ domain protein
SO_3810	0.97	outer membrane protein OmpA-like protein
SO_4280	0.97	CBS domain containing protein
SO_0851	0.96	PilD processed protein
SO_0914	0.96	beta lactamase family protein
SO_1462	0.96	cytoplasmic protein in type I restriction-modifcation system locus
SO_1868	0.96	nucleic acid binding superfamily protein YitL type
SO_2677	0.96	Mu phage small terminase subunit GpD
SO_2991	0.96	Lambda phage lipoprotein
SO_3259	0.96	motility accessory factor Maf
SO_3449	0.96	WGR domain protein
SO_3632	0.96	predicted outer membrane protein
SO_3790	0.96	sulfur acceptor protein for iron-sulfur cluster assembly SufE
SO_3793	0.96	cupin 2 conserved barrel domain-containing protein
SO_1069	0.95	predicted membrane protein
SO_2569	0.95	putative cytoplasmic protein
SO_2711	0.95	predicted lipoprotein
SO_4559	0.95	Sel1 domain-containing protein
SO_0732	0.94	thioredoxin-like protein
SO_1190	0.94	putative periplasmic CbiK superfamily protein
SO_2101	0.94	predicted lipoprotein
SO_2930	0.94	bifunctional pectinolytic enzyme/cytochrome c
SO_0552	0.93	predicted periplasmic protein
SO_1254	0.93	signal transduction superfamily protein with modified HD-GYP domain
SO_1507	0.93	C-terminal Bar domain-containing protein
SO_1572	0.93	small highly charged protein
SO_1705	0.93	ABC-type drugE1 family efflux system MFP component
SO_2893	0.93	base-induced periplasmic protein YceI
SO_2947	0.93	Lambda phage protein of known function
SO_2971	0.93	Lambda phage holin S
SO_2962	0.93	Lambda phage helical domain protein
SO_1824	0.92	TonB2 energy transduction system periplasmic component
SO_2573	0.92	UCP006173 family protein
SO_4356	0.92	predicted lipoprotein
SO_1412	0.91	outer membrane beta barrel protein
SO_1949	0.91	invasin domain protein
