subject,predicate,object
Na2d516b501bd4d7c9a152109c1bd455c,owl#onProperty,BFO_0000050
N748b24d5c3e3408caaa66d16a32f6260,owl#onProperty,RO_0002211
N86fb5e67c1fd4e85909257f41b69707d,owl#someValuesFrom,GO_0042181
Nd260c61a9ea7439f9b6d7cad9587fc9e,owl#onProperty,RO_0002212
GO_0036054,rdf-schema#subClassOf,GO_0016811
GO_0043412,rdf-schema#subClassOf,GO_0043170
GO_0048764,rdf-schema#subClassOf,N57b442bb77d04fdfab53da0189eb291f
GO_0006537,rdf-schema#subClassOf,GO_0043650
GO_0055086,oboInOwl#inSubset,go#goslim_prokaryote
Nb87373c4b3274cfbb8e5a2798565d824,owl#onProperty,RO_0002211
GO_0009860,rdf-schema#subClassOf,N749f97d06c6d44a382a41efdbc7533d8
GO_0009127,rdf-schema#subClassOf,GO_0009124
GO_0009311,oboInOwl#inSubset,go#goslim_yeast
GO_0015093,oboInOwl#hasAlternativeId,GO:0015639
N3d0de6d2417549d09b385658f39fb067,owl#someValuesFrom,GO_0070371
Nef913629cd274bafa2f3f8eadf261618,owl#onProperty,RO_0002211
GO_0048367,rdf-schema#subClassOf,GO_0048731
N4da5849ee3f0470f8322b78526c68370,owl#onProperty,BFO_0000050
GO_0042274,oboInOwl#inSubset,go#goslim_yeast
GO_0098660,rdf-schema#subClassOf,GO_0055085
Nfd5491f3d6594660a51f3b724ad814c7,owl#someValuesFrom,GO_0044085
GO_0006415,rdf-schema#subClassOf,GO_0032984
GO_0160093,rdf-schema#subClassOf,GO_0060465
N2667033b298549308e9cb3fefc3bcf62,22-rdf-syntax-ns#rest,22-rdf-syntax-ns#nil
GO_0008932,rdf-schema#subClassOf,GO_0008933
GO_0044849,rdf-schema#subClassOf,GO_0042698
GO_0042976,rdf-schema#subClassOf,GO_0032147
Ndd08a0c46435475bb0eb4c70a0637b1f,owl#onProperty,BFO_0000066
N568310a412614b32ae903f574c4d1eb3,owl#onProperty,RO_0002212
GO_0009767,oboInOwl#hasAlternativeId,GO:0009774
GO_0005548,oboInOwl#hasAlternativeId,GO:0008497
GO_0007093,rdf-schema#subClassOf,GO_1903047
Nbfa98aaa12a74469a9a5ac64bbde88ef,owl#someValuesFrom,GO_0032279
GO_0001504,rdf-schema#subClassOf,GO_0006836
GO_0019209,rdf-schema#subClassOf,GO_0019207
GO_0031556,rdf-schema#subClassOf,GO_0031555
GO_0046443,rdf-schema#subClassOf,GO_0072387
Ne8079054e3a846309bdd5bbd79be2d21,owl#onProperty,BFO_0000050
N8188154429874fb3b28cd54c022e1f04,22-rdf-syntax-ns#first,GO_0065007
GO_0005871,rdf-schema#subClassOf,GO_0005875
GO_2000146,rdf-schema#subClassOf,GO_0048523
GO_0004672,rdf-schema#subClassOf,GO_0016773
GO_0001503,rdf-schema#subClassOf,GO_0032501
GO_1903428,rdf-schema#subClassOf,N829194b743294b18a3a25c62c51e1c6d
GO_0047388,rdf-schema#subClassOf,GO_0016779
GO_0009646,rdf-schema#subClassOf,GO_0009642
Na485079d81d04498b5b4ccaec4790ff7,owl#onProperty,BFO_0000050
GO_0030449,owl#equivalentClass,N8347bb6ae39e4f3681d0b5a7c3fc81d3
GO_0000186,oboInOwl#consider,GO:0000165
GO_0034023,rdf-schema#subClassOf,GO_0016866
GO_0002263,rdf-schema#subClassOf,N6df93e5acf8d477a88342be25abe08aa
GO_0006900,rdf-schema#subClassOf,N88cb182074ea40f89bf9e1733a9e8508
GO_0008879,rdf-schema#subClassOf,GO_0016779
GO_0051252,rdf-schema#subClassOf,GO_0060255
GO_0001217,owl#equivalentClass,Na4846f6df9a94d5c829f0f78e536f558
N4626744082bc4507bdd208291b8814c5,owl#onProperty,BFO_0000050
GO_0008798,rdf-schema#subClassOf,GO_0070003
GO_0030632,rdf-schema#subClassOf,GO_0046437
N32a3102d396b49c98c36ca4b3e143261,22-rdf-syntax-ns#first,N3046fe5a97c54f41872a71943445c5b7
N9efcb7584e714fb6b64e0f36ed8b3fbe,owl#someValuesFrom,GO_0043213
