subject,predicate,object
Na2d516b501bd4d7c9a152109c1bd455c,owl#onProperty,BFO_0000050
N86fb5e67c1fd4e85909257f41b69707d,owl#someValuesFrom,GO_0042181
N54c9e3ced6bb4af08d1e5e6b59e5b58d,22-rdf-syntax-ns#first,GO_0065007
Nd260c61a9ea7439f9b6d7cad9587fc9e,owl#onProperty,RO_0002212
GO_0036054,rdf-schema#subClassOf,GO_0016811
GO_0043412,rdf-schema#subClassOf,GO_0043170
Nc01c8a10254444e6a05e531c1444f260,22-rdf-syntax-ns#first,GO_0065007
GO_0006537,rdf-schema#subClassOf,GO_0043650
GO_2000061,rdf-schema#subClassOf,GO_0051150
Nd79d530f6b5c44e8af0a1c93379ef9dd,22-rdf-syntax-ns#rest,22-rdf-syntax-ns#nil
GO_0055086,oboInOwl#inSubset,go#goslim_prokaryote
Nb87373c4b3274cfbb8e5a2798565d824,owl#onProperty,RO_0002211
N5836f0a5e2974b85b0c03038bb35f751,owl#onProperty,RO_0002213
GO_0009127,rdf-schema#subClassOf,GO_0009124
GO_0009311,oboInOwl#inSubset,go#goslim_yeast
N36ef8574589c4618ac3fb3c6ad0ea007,22-rdf-syntax-ns#rest,N2550df9e3f6d401796ee339cbdc000dc
GO_0015093,oboInOwl#hasAlternativeId,GO:0015639
Nf2c9c3353b95443ebb7cd6e9b0f473a7,22-rdf-syntax-ns#first,Ne49e90982b5149cc984c4f5f879832d8
GO_0014912,rdf-schema#subClassOf,GO_0014910
GO_0048367,rdf-schema#subClassOf,GO_0048731
GO_2000061,rdf-schema#subClassOf,GO_0048634
N4da5849ee3f0470f8322b78526c68370,owl#onProperty,BFO_0000050
GO_0042274,oboInOwl#inSubset,go#goslim_yeast
N7e19806945694c53819dfb20725c781a,owl#onProperty,RO_0002212
GO_0098660,rdf-schema#subClassOf,GO_0055085
N4f1fadd1099c413e820e9ce2dc412fb2,owl#someValuesFrom,GO_0071604
Nfd5491f3d6594660a51f3b724ad814c7,owl#someValuesFrom,GO_0044085
GO_0006415,rdf-schema#subClassOf,GO_0032984
N12e0d63eaec54543ba0897720c47ee5c,22-rdf-syntax-ns#rest,22-rdf-syntax-ns#nil
Nb76910ee70cb400695c4006526e4f1d4,owl#someValuesFrom,GO_0003231
Ndc72ca9fa804432e88b55153b819fe41,22-rdf-syntax-ns#first,GO_0051225
N2667033b298549308e9cb3fefc3bcf62,22-rdf-syntax-ns#rest,22-rdf-syntax-ns#nil
GO_0007127,rdf-schema#subClassOf,Na3400cbffa3141f89347c90a3b53dc0f
Nae838c0795de4e8aa5102d69f72b4adf,22-rdf-syntax-ns#rest,Nf1216a513aa843949e72384974b45c5e
GO_0008932,rdf-schema#subClassOf,GO_0008933
GO_0000281,rdf-schema#subClassOf,GO_1903047
GO_0005548,oboInOwl#hasAlternativeId,GO:0008497
GO_0007093,rdf-schema#subClassOf,GO_1903047
Nb7bdb37ce54b44c0815b122402449230,owl#someValuesFrom,GO_0042667
GO_0001504,rdf-schema#subClassOf,GO_0006836
GO_0071729,rdf-schema#subClassOf,N84fd04864dc74754a60da4be42944fd6
GO_0019209,rdf-schema#subClassOf,GO_0019207
GO_0031556,rdf-schema#subClassOf,GO_0031555
GO_0046443,rdf-schema#subClassOf,GO_0072387
GO_0032891,rdf-schema#subClassOf,GO_0051051
GO_0060761,rdf-schema#subClassOf,N2ee3bf211a4445048561652d6fb37a94
Ndb44f8fe6c7747a69b140e8286a36d7f,owl#someValuesFrom,GO_0042060
GO_2000146,rdf-schema#subClassOf,GO_0048523
GO_0004672,rdf-schema#subClassOf,GO_0016773
GO_1900430,rdf-schema#subClassOf,N067d48da37f7420487161f6dd7cc120c
GO_0031440,owl#equivalentClass,N77630b4c5380495fa8b8dd1d94ea9abc
GO_0001503,rdf-schema#subClassOf,GO_0032501
GO_0047388,rdf-schema#subClassOf,GO_0016779
GO_0009646,rdf-schema#subClassOf,GO_0009642
N23463807591d474db681095fe33b98d5,owl#someValuesFrom,GO_0097193
Na485079d81d04498b5b4ccaec4790ff7,owl#onProperty,BFO_0000050
GO_0031632,rdf-schema#subClassOf,Nac3c59ac88714b7a9ef37e0c8cec2f4f
GO_0001549,rdf-schema#subClassOf,GO_0003006
GO_0042425,rdf-schema#subClassOf,GO_0042401
GO_0034023,rdf-schema#subClassOf,GO_0016866
GO_0002263,rdf-schema#subClassOf,N6df93e5acf8d477a88342be25abe08aa
GO_0006900,rdf-schema#subClassOf,N88cb182074ea40f89bf9e1733a9e8508
GO_2000454,owl#equivalentClass,N5f8aa8dde36142d099a60cc41d357809
Ndc518df744984973b620a8ebf0bfe36e,owl#intersectionOf,N781d3cb14f1f403db5d90b5941bd91a6
GO_0008879,rdf-schema#subClassOf,GO_0016779
GO_0051252,rdf-schema#subClassOf,GO_0060255
N1c923b94a8494a898fcbbe0ce216e14e,owl#intersectionOf,Naf68cf5432fa4bb2b2a3ee590454c009
GO_0032276,rdf-schema#subClassOf,GO_0046883
GO_0001217,owl#equivalentClass,Na4846f6df9a94d5c829f0f78e536f558
N76fcf2a8e547430da1c77ad746589cda,22-rdf-syntax-ns#first,GO_0030282
GO_0036278,oboInOwl#consider,GO:0006995
N4626744082bc4507bdd208291b8814c5,owl#onProperty,BFO_0000050
GO_0008798,rdf-schema#subClassOf,GO_0070003
GO_0030632,rdf-schema#subClassOf,GO_0046437
N46776bd33c134f26bd4838d4143c967c,22-rdf-syntax-ns#rest,Na5a9ea760128409a8d46ced2fef9df52
N3857bbe8adee4776adafdf0da5c2bfa3,22-rdf-syntax-ns#first,GO_0065007
GO_0097378,rdf-schema#subClassOf,GO_0097377
N23bbc280effd45aebd4733f7e2c16544,owl#onProperty,RO_0002211
N14a9d2fd82d64871a03527d86da9ae6d,owl#intersectionOf,Na2553b3d0d374e409b980bb82b38e9c5
Nd34a2e82091747cf9c6c59e4d2819f41,owl#someValuesFrom,GO_0009061
N4041d4b7ac194ede8838449c30d6eafb,owl#onProperty,RO_0002213
GO_0008206,rdf-schema#subClassOf,GO_0008202
N4c50634f6fd34bb7aa4704952e5371dc,owl#intersectionOf,N5ce4ececc98b40e2b416ce06fe8c10e9
GO_0005975,oboInOwl#inSubset,go#goslim_pombe
GO_0044406,rdf-schema#subClassOf,GO_0051701
GO_0141188,rdf-schema#subClassOf,GO_0090304
