gene_id	conf	product
SO_2912	0.88	pflB - pyruvate formate-lyase PflB
SO_1329	0.84	cyaC - adenylate cyclase CyaC
SO_1776	0.81	mtrB - extracellular iron oxide respiratory system outer membrane component MtrB
SO_3370	0.78	yceI - UPF0312 family alkali-inducible periplasmic protein YceI
SO_0104	0.77	fdhE - nitrate-inducible formate dehydrogenase chaperone FdhE
SO_0107	0.72	fdhD - formate dehydrogenase assembly/maturation protein FdhD
SO_0768	0.52	argR - NAD dependent epimerase/dehydratase family protein
SO_1828	0.43	tonB2 - TonB2 mediated energy transduction system energy transducer component TonB2
SO_0236	0.43	rplV - 50S ribosomal protein L22 RplV
SO_4214	0.42	lpxC - UDP-3-0-acyl N-acetylglucosamine deacetylase LpxC
SO_0959	0.41	periplasmic leucyl metal-dependent aminopeptidase
SO_3896	0.41	omp35 - outer membrane porin Omp35
SO_2490	0.41	hexR - 2-keto-3-deoxy-6-phosphogluconate-responsive transcriptional regulator of central carbohydrate metabolism HexR
SO_1126	0.40	dnaK - chaperone protein DnaK
SO_0830	0.39	phoA - periplasmic alkaline phosphatase PhoA
SO_3952	0.39	mlaD - ABC-type phospholipid uptake (salvage) system substrate-binding component MlaD
SO_2913	0.39	pflA - pyruvate formate-lyase 1 activating enzyme PflA
SO_3630	0.39	hprA - predicted lipoprotein
SO_0072	0.39	transcriptional repressor of ABC-type efflux system GntR family
SO_1797	0.39	hupB - histone-like DNA-binding protein HupB
SO_0252	0.38	rpmJ - 50S ribosomal protein L36 RpmJ
SO_0276	0.38	argB - acetylglutamate kinase ArgB
SO_4320	0.38	aggA - type I protein secretion system secretin component AggA
SO_1826	0.38	exbB - TonB2 energy transduction system inner membrane component ExbB
SO_0930	0.38	tkt - transketolase Tkt
SO_1207	0.37	rpsO - 30S ribosomal protein S15 RpsO
SO_3705	0.37	nupX - 5-methylthioadenosine nucleosidase/S-adenosylhomocysteine nucleosidase
SO_1827	0.37	exbD - TonB2 energy transduction system membrane anchored component ExbD
SO_2182	0.37	yecM - protein of unknown function YecM
SO_2266	0.37	iscA - FeS cluster assembly acessory protein IscA
SO_2274	0.37	ndk - nucleoside diphosphate kinase Ndk
SO_3649	0.37	obgE - 50S ribosome assembly GTPase ObgE
SO_0096	0.37	hutC - transcriptional repressor of histidine utilization genes HutC
SO_0660	0.37	com - Mu phage conserved phage protein
SO_0624	0.37	crp - cAMP-responsive regulator of catabolite repression Crp
SO_0783	0.36	unknown - superfamily I DNA and RNA helicase
SO_3660	0.36	Sigma54-dependent transcriptional regulator with PAS sensory domain Fis family
SO_0266	0.36	ccmF - cytochrome c synthetase cytochrome b containing quinol-haem oxidoreductase subunit CcmF
SO_0659	0.36	Mu phage lysozyme
SO_1829	0.36	putative Zn-dependent protease associated with TonB2 energy transduction system
SO_1259	0.36	transcriptional regulator LysR family
SO_2265	0.36	iscU - FeS cluster assembly scaffold protein IscU
SO_0229	0.36	tufA - translation elongation factor Tu TufA
SO_1736	0.36	unknown - protein of unknown function DUF502
SO_3142	0.35	dcp - dipepidyl carboxypeptidase II Dcp
SO_0235	0.35	rpsS - 30S ribosomal protein S19 RpsS
SO_2278	0.35	ilvH - acetolactate synthase III small subunit IlvH
SO_3200	0.35	cheW - putative membrane anchored protein of unknown function DUF2802
SO_1359	0.35	trmD - tRNA (guanine-N1)-methyltransferase TrmD
SO_2087	0.35	ihfA - integration host factor alpha subunit IhfA
SO_3674	0.35	hmuC - ABC-type hemin uptake system permease component HmuC
SO_1174	0.35	leuS - leucyl-tRNA synthetase LeuS
SO_2718	0.35	deoT - nucleoside sugar transporter DeoT
SO_2775	0.34	acpP - acyl carrier protein AcpP
SO_3714	0.34	nfnB - ABC-type monosaccharide transport system substrate binding component
SO_0245	0.34	rpsH - 30S ribosomal protein S8 RpsH
SO_1809	0.34	pspC - phage shock protein C PspC
SO_1141	0.34	carA - carbamoyl-phosphate synthase small subunit CarA
SO_3582	0.34	methyl-accepting chemotaxis sensory transducer with 4HB sensory domain
