gene_id	conf	product
SO_3975	0.71	unknown - membrane protein PAP2 superfamily
SO_0107	0.70	fdhD - formate dehydrogenase assembly/maturation protein FdhD
SO_1523	0.69	nadF - NAD kinase NadF
SO_3370	0.67	yceI - UPF0312 family alkali-inducible periplasmic protein YceI
SO_1329	0.67	cyaC - adenylate cyclase CyaC
SO_1776	0.66	mtrB - extracellular iron oxide respiratory system outer membrane component MtrB
SO_2185	0.64	ppx - exopolyphosphatase Ppx
SO_2912	0.60	pflB - pyruvate formate-lyase PflB
SO_0104	0.55	fdhE - nitrate-inducible formate dehydrogenase chaperone FdhE
SO_3077	0.43	ATP-NAD kinase
SO_0987	0.30	methyl accepting sensory transducer with Cache_2 small molecule binding domain
SO_4105	0.28	mshA - MSHA major pilin subunit MshA
SO_0702	0.27	groES - multidrug and toxin efflux protein MATE family
SO_4519	0.25	sodium-dependent transporter BASS family
SO_2363	0.21	ccoO - Cbb3-type cytochrome c oxidase subunit II CcoO
SO_4606	0.20	coxB - aa3-type cytochrome c oxidase subunit II CoxB
SO_2903	0.20	cysK - cysteine synthase CysK
SO_4565	0.18	yjeH - L-leucine transporter YjeH
SO_3985	0.17	dapA - dihydrodipicolinate synthase DapA
SO_1828	0.17	tonB2 - TonB2 mediated energy transduction system energy transducer component TonB2
SO_3504	0.17	nagX - N-acetylglucosamine locus membrane protein of unknown function DUF1624 NagX
SO_0429	0.17	pepO - cell surface zinc endopeptidase PepO
SO_2195	0.16	srtA - inter-alpha-trypsin inhibitor family protein
SO_4751	0.16	atpF - ATP synthase F0 B subunit AtpF
SO_4021	0.16	mdtL - chloramphenicol resistance protein MdtL
SO_4201	0.16	ubiB - 2-polyprenylphenol 6-hydroxylase UbiB
SO_0953	0.15	uncharacterized protein
SO_3925	0.15	hydE - Fe hydrogenase maturation rSAM protein HydE
SO_2067	0.15	hisIE - bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase HisIE
SO_1827	0.15	exbD - TonB2 energy transduction system membrane anchored component ExbD
SO_1345	0.14	rseC - sigma E factor positive regulatory protein RseC
SO_1193	0.14	secD - preprotein translocase subunit SecD
SO_1825	0.14	ttpC - TonB2 energy transduction system inner membrane component TtpC
SO_2403	0.14	cmk - cytidylate kinase Cmk
SO_3235	0.14	fliD - flagellar filament capping protein FliD
SO_4753	0.14	atpB - ATP synthase F0 A subunit AtpB
SO_0345	0.14	prpB - 2-methylisocitrate lyase PrpB
SO_0725	0.14	katG - bifunctional catalase/peroxidase HPI KatG
SO_4060	0.14	phsC - sulfur reductase membrane anchoring component PhsC
SO_4281	0.14	ktrA - sodium-dependent potassium uptake system NAD binding component KtrA
SO_4283	0.14	tnpA - ApbE family lipoprotein
SO_2150	0.13	integral membrane transglutaminase family protein with DUF3488 domain
SO_4203	0.13	tatB - twin arginine protein translocase system protein TatB
SO_1385	0.13	chemotaxis signal transduction system methyl accepting sensory transducer with PAS sensory domain
SO_2087	0.13	ihfA - integration host factor alpha subunit IhfA
SO_3208	0.13	cheZ - chemotaxis signal transduction system CheY phosphatase CheZ
SO_4451	0.13	moaC - molybdenum cofactor biosynthesis protein C MoaC
SO_0827	0.13	rsmC - lactate transport protein LctP family
SO_4315	0.12	hemX - uroporphyrin-III C-methyltransferase HemX
SO_1011	0.12	nuoL - NADH-ubiquinone oxidoreductase subunit L NuoL
SO_2192	0.12	two component signal transduction system controlling sortase system histidine kinase
SO_2219	0.12	yeaB - predicted membrane protein
SO_4274	0.12	uppP - undecaprenol diphosphatase UppP
SO_1796	0.12	lon - ATP-dependent protease La Lon
SO_2387	0.12	ampC - DTW domain-containing protein
SO_3335	0.12	periplasmic protein of unknown function DUF980
SO_1798	0.12	ppiD - peptidyl-prolyl cis-trans isomerse PpiD
SO_4133	0.12	udp - uridine phosphorylase Udp
SO_4676	0.12	kdtA - 3-deoxy-D-manno-octulosonic-acid (KDO) transferase KdtA
SO_4321	0.12	Pal-like T1SS-linked outer membrane lipoprotein
SO_1197	0.12	ftsH - ATP-dependent zinc metalloprotease FtsH
SO_1665	0.12	galU - UTP-glucose-1-phosphate uridylyltransferase GalU
SO_3671	0.12	exbB - TonB1 energy transduction system for heme uptake inner membrane component ExbB
SO_4750	0.11	atpH - ATP synthase F1 delta subunit AtpH
SO_1145	0.11	magnesium transporter MgtE family
SO_1068	0.11	4-hydroxybenzoyl-CoA thioesterase family protein
SO_0141	0.11	ribB - nitrate/nitrite-responsive bifunctional diguanylate cyclase/phosphodiesterase with PAS sensory domain
SO_2339	0.11	bkdA1 - 3-methyl-2-oxobutanoate dehydrogenase complex E1 component alpha subunit BkdA1
SO_1797	0.11	hupB - histone-like DNA-binding protein HupB
SO_2444	0.11	thiDE - bifunctional hydroxy-(phospho)methylpyrimidine kinase/thiamine-phosphate pyrophosphorylase ThiDE
SO_3509	0.11	hexB - beta-N-acetylhexosaminidase HexB
SO_3986	0.11	lysC - lysine-sensitive aspartokinase III LysC
SO_4197	0.11	rraA - ribonuclease E inhibitor RraA
SO_0905	0.11	nqrD - Na-translocating NADH-quinone reductase subunit D NqrD
SO_2340	0.11	bkdA2 - 3-methyl-2-oxobutanoate dehydrogenase complex E1 component beta subunit BkdA2
SO_1870	0.10	speA - biosynthetic arginine decarboxylase SpeA
SO_2744	0.10	grxA - helicase
SO_4066	0.10	purC - phosphoribosylaminoimidazole-succinocarboxamide synthase PurC
SO_4754	0.10	atpI - ATP synthase assembly protein AtpI
SO_0102	0.10	fdnH - nitrate-inducible formate dehydrogenase iron-sulfur subunit FdnH
SO_0484	0.10	sirD - menaquinol oxidase SirD
SO_3918	0.10	hydA - periplasmic peptidase subfamily S1B
SO_4339	0.10	sodium-dependent hypotaurine transporter
SO_3873	0.10	nucleoside-specifc outer membrane porin Tsx family
SO_1844	0.10	exeS - extracellular nuclease ExeS
SO_2441	0.10	thiG - thiazole-phosphate synthase ThiG
SO_1502	0.10	GTPase involved in metallocenter biosynthesis of metalloproteins COG0523 family
SO_4457	0.10	diguanylate cyclase
SO_2782	0.10	yceF - Maf septum formation family protein YceF
SO_0425	0.10	aceF - dihydrolipoamide acetyltransferase AceF
SO_0602	0.10	miaA - tRNA dimethylallyltransferase MiaA
SO_1326	0.10	yhcC - radical SAM superfamily protein YhcC
SO_1777	0.10	mtrA - extracelllular iron oxide respiratory system periplasmic decaheme cytochrome c component MtrA
SO_2018	0.10	adk - adenylate kinase Adk
SO_2459	0.10	cga - glucan 14-alpha-glucosidase Cga
SO_3580	0.10	bamC - beta barrel protein translocation lipoprotein component BamC
SO_3748	0.10	ybiS - LD-transpeptidase YbiS
SO_3896	0.10	omp35 - outer membrane porin Omp35
SO_3865	0.10	modC - ABC-type molybdate uptake system ATPase component ModC
SO_3653	0.10	ispB - octaprenyl-diphosphate synthase IspB
SO_3665	0.10	hmuZ - ABC-type multidrug eflux system bifunctional ATPase and permease component
SO_1896	0.10	liuB - methylcrotonyl-CoA carboxylase carboxyl transferase subunit LiuB
SO_2491	0.10	pykA - pyruvate kinase II PykA
SO_3837	0.10	prsA - ribose-phosphate pyrophosphokinase PrsA
SO_4215	0.09	ftsZ - cell division filament FtsZ
SO_4648	0.09	two component signal transduction system histidine kinase
SO_1420	0.09	ifcA - metal-induced outer membrane porin IfcO family
SO_3345	0.09	yciH - translation initiation factor protein YciH
SO_0195	0.09	selU - selenophosphate-dependent tRNA 2-selenouridine synthase SelU
SO_0361	0.09	gmk - guanylate kinase Gmk
SO_0528	0.09	trpI - radical SAM protein
SO_0903	0.09	nqrB - Na-translocating NADH-quinone reductase subunit B NqrB
SO_0970	0.09	fccA - periplasmic fumarate reductase FccA
SO_1053	0.09	unknown - phosphoenolpyruvate/pyruvate domain superfamily protein
SO_1200	0.09	tpiA - triosephosphate isomeraseTpiA
SO_1248	0.09	peptidase U32 family YhbV
SO_1346	0.09	lepA - elongation factor 4 LepA
SO_1821	0.09	outer membrane porin
SO_2451	0.09	SAM-dependent methyltransferase
SO_2520	0.09	signalling protein with GGDEF domain
SO_2675	0.09	gp26 - Mu phage protein of unknown function DUF2730
SO_2778	0.09	fabH - 3-oxoacyl-(acyl-carrier-protein) synthase III FabH
SO_2813	0.09	tnpA - oxidoreductase short chain dehydrogenase/reductase family
SO_2842	0.09	sbcC - subfamily M23B unassigned peptidase
SO_3029	0.09	pubA - protein of unknown function DUF2798
SO_3060	0.09	topB - outer membrane porin
SO_3675	0.09	hmuD - ABC-type hemin uptake system ATPase component HmuD
SO_3768	0.09	kvaP - voltage-gated potassium uptake system KvaP
SO_4149	0.09	secreted VCBS domain protein
SO_4329	0.09	protein of unknown function DUF526
